ncppb_number,ncppb_number_compact,current_name,name_as_received,alternative_names,pathovar,host,country,other_collection_numbers,ncppb_catalogue_url,catalogue_sequence_links,sequencing_type,year_added,type_strain_of_species,pathotype_strain,other_references,notes,raw_record_text
NCPPB 761,NCPPB761,Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov.,Xanthomonas physalidicola Goto & Okabe 1958,Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978,pv. physalidicola,Physalis alkekengii L. (Bladder cherry / Chinese Lantern),Unknown,ICMP 586; LMG 845; ATCC 49077,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=761,,,1960,No,Yes,"The donor reference is Yzl This isolate is also in the collections; ICMP 586, LMG 845, ATCC 49077 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe",,"NCPPB No. 761: Catalogue name: Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas physalidicola Goto & Okabe 1958 Other name: Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978 Country: Unknown Host: Physalis alkekengii L. (Bladder cherry / Chinese Lantern) Year Added: 1960 Type strain of the species: No Pathotype strain: Yes Other references: The donor reference is Yzl This isolate is also in the collections; ICMP 586, LMG 845, ATCC 49077 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe"
NCPPB 762,NCPPB762,Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995,Xanthomonas pisi Goto & Okabe 1958,Xanthomonas campestris pv. pisi (Goto & Okabe 1958) Dye 1978,,Pisum sativum L. (pea),Japan (Shizuoka),ICMP 570; LMG 847; DSM 18956; ATCC 35936,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=762,GenBank: EU498770 - dnaK EU498872 - fyuA EU498976 - gyrB EU499095 - rpoD HM181889 - genomic DNA HM469734 - dnaA PRJDB10667 MT758039 - 16S ribosomal RNA MT759992 - 16S ribosomal RNA MH673348 - apiosyltransferase MH673349 - putative xylosyltrans <genbank:  EU498770 - dnaK  EU498872 - fyuA  EU498976 - gyrB  EU499095 - rpoD  HM181889 - genomic DNA  HM469734 - dnaA  PRJDB10667  MT758039 - 16S ribosomal RNA  MT759992 - 16S ribosomal RNA  MH673348 - apiosyltransferase  MH673349 - putative xylosyltrans>,,1960,Yes,No,"The donor reference is XAl This isolate is also in the collections; ICMP 570, LMG 847, DSM 18956, ATCC 35936 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe",Causes leaf spots,"NCPPB No. 762: Catalogue name: Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995 Name as received: Xanthomonas pisi Goto & Okabe 1958 Other name: Xanthomonas campestris pv. pisi (Goto & Okabe 1958) Dye 1978 Country: Japan (Shizuoka) Host: Pisum sativum L. (pea) Year Added: 1960 Type strain of the species: Yes Pathotype strain: No Notes: Causes leaf spots Other references: The donor reference is XAl This isolate is also in the collections; ICMP 570, LMG 847, DSM 18956, ATCC 35936 This isolate was isolated by N. Okabe The source of this isolate was ex N. Okabe Sequencing Link: GenBank: EU498770 - dnaK EU498872 - fyuA EU498976 - gyrB EU499095 - rpoD HM181889 - genomic DNA HM469734 - dnaA PRJDB10667 MT758039 - 16S ribosomal RNA MT759992 - 16S ribosomal RNA MH673348 - apiosyltransferase MH673349 - putative xylosyltrans"
NCPPB 793,NCPPB793,Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990,Xanthomonas oryzae,Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978,pv. oryzae,Oryza sativa,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=793,,,1960,No,No,The donor reference is 78017 This isolate was isolated by ex T.N. Kaul,,NCPPB No. 793: Catalogue name: Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990 Name as received: Xanthomonas oryzae Other name: Xanthomonas campestris pv. oryzae (Ishyama 1922) Dye 1978 Country: India Host: Oryza sativa Year Added: 1960 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 78017 This isolate was isolated by ex T.N. Kaul
NCPPB 795,NCPPB795,Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Saccharum officinarum,Malagasy Republic,LMG 900,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=795,,,1960,No,No,The donor reference is 81587 This isolate is also in the collections; LMG 900 This isolate was isolated by ex P. Baudin,"Fatty acid Type C (Dookun, Stead & Autrey 2000)","NCPPB No. 795: Catalogue name: Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1960 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type C (Dookun, Stead & Autrey 2000) Other references: The donor reference is 81587 This isolate is also in the collections; LMG 900 This isolate was isolated by ex P. Baudin"
NCPPB 840,NCPPB840,Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995,Xanthomonas patelii Desai & Shah 1959,Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978,pv. patelii,Crotalaria juncea,India,ICMP 167; LMG 811,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=840,,,1960,No,Yes,"This isolate is also in the collections; ICMP 167, LMG 811 The source of this isolate was ex M.K. Desai",,"NCPPB No. 840: Catalogue name: Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995 Name as received: Xanthomonas patelii Desai & Shah 1959 Other name: Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978 Country: India Host: Crotalaria juncea Year Added: 1960 Type strain of the species: No Pathotype strain: Yes Other references: This isolate is also in the collections; ICMP 167, LMG 811 The source of this isolate was ex M.K. Desai"
NCPPB 875,NCPPB875,Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978,Xanthomonas campestris var. aberrans Knosel 1961,,pv. aberrans,Brassica oleracea var. botrytis,W. Germany,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=875,,,1961,No,No,,,NCPPB No. 875: Catalogue name: Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978 Name as received: Xanthomonas campestris var. aberrans Knosel 1961 Country: W. Germany Host: Brassica oleracea var. botrytis Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 881,NCPPB881,Xanthomonas hortorum pv. gardneri Morinière et al. (2020),Pseudomonas gardneri Sutic 1957,Xanthomonas gardneri Not yet published,pv. gardneri,Solanum lycopersicum,Yugoslavia (Serbia),ATCC 19865; DSM 19127,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=881,,,1961,No,Yes,"The donor reference is Strain sombor This isolate is also in the collections; ATCC 19865, DSM 19127 This isolate was isolated by D. Sutic",,"NCPPB No. 881: Catalogue name: Xanthomonas hortorum pv. gardneri Morinière et al. (2020) Name as received: Pseudomonas gardneri Sutic 1957 Other name: Xanthomonas gardneri Not yet published Country: Yugoslavia (Serbia) Host: Solanum lycopersicum Year Added: 1961 Type strain of the species: No Pathotype strain: Yes Other references: The donor reference is Strain sombor This isolate is also in the collections; ATCC 19865, DSM 19127 This isolate was isolated by D. Sutic"
NCPPB 884,NCPPB884,Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995,Xanthomonas patelii Desai & Shah 1959,Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978,pv. patelii,Crotalaria juncea,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=884,,,1961,No,No,The donor reference is B400 The source of this isolate was ex R.M. Patel,,NCPPB No. 884: Catalogue name: Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995 Name as received: Xanthomonas patelii Desai & Shah 1959 Other name: Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978 Country: India Host: Crotalaria juncea Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B400 The source of this isolate was ex R.M. Patel
NCPPB 885,NCPPB885,Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995,Xanthomonas desmodiirotundifolii Desai & Shah 1960,Xanthomonas campestris pv. desmodiirotundifolii (Desai & Shah 1960) Dye 1978,pv. desmodiirotundifolii,Desmodium rotundifolium,India,ICMP 168; LMG 694,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=885,,,1961,No,Yes,"The donor reference is B401 This isolate is also in the collections; ICMP 168, LMG 694 This isolate was isolated by ex R.M. Patel",,"NCPPB No. 885: Catalogue name: Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995 Name as received: Xanthomonas desmodiirotundifolii Desai & Shah 1960 Other name: Xanthomonas campestris pv. desmodiirotundifolii (Desai & Shah 1960) Dye 1978 Country: India Host: Desmodium rotundifolium Year Added: 1961 Type strain of the species: No Pathotype strain: Yes Other references: The donor reference is B401 This isolate is also in the collections; ICMP 168, LMG 694 This isolate was isolated by ex R.M. Patel"
NCPPB 887,NCPPB887,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Mauritius,ATCC 33195,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=887,,,1961,No,No,This isolate is also in the collections; ATCC 33195 This isolate was isolated by A.C. Hayward B315,,NCPPB No. 887: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Mauritius Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: This isolate is also in the collections; ATCC 33195 This isolate was isolated by A.C. Hayward B315
NCPPB 888,NCPPB888,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Saccharum officinarum,South Africa,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=888,,,1961,No,No,This isolate was isolated by A.C. Hayward B325,Causes 'red stripe' symptoms. Pathovar unspecified.Fatty acid profile typical of xanthomonas.= X.c.vasculorum E,NCPPB No. 888: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: South Africa Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Causes 'red stripe' symptoms. Pathovar unspecified.Fatty acid profile typical of xanthomonas.= X.c.vasculorum E Other references: This isolate was isolated by A.C. Hayward B325
NCPPB 889,NCPPB889,Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Saccharum officinarum,South Africa,LMG 902; CFBP 5831,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=889,,,1961,No,No,"This isolate is also in the collections; LMG 902, CFBP 5831 This isolate was isolated by A.C. Hayward B323","Fatty acid Type C (Dookun, Stead & Autrey 2000)","NCPPB No. 889: Catalogue name: Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: South Africa Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type C (Dookun, Stead & Autrey 2000) Other references: This isolate is also in the collections; LMG 902, CFBP 5831 This isolate was isolated by A.C. Hayward B323"
NCPPB 891,NCPPB891,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae,pv. vasculorum,Thysanolaena maxima,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=891,,,1961,No,No,This isolate was isolated by A.C. Hayward B337,"Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?","NCPPB No. 891: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae Country: Mauritius Host: Thysanolaena maxima Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.? Other references: This isolate was isolated by A.C. Hayward B337"
NCPPB 892,NCPPB892,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Thysanolaena maxima,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=892,,,1961,No,No,This isolate was isolated by A.C. Hayward B349,"Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?","NCPPB No. 892: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Mauritius Host: Thysanolaena maxima Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.? Other references: This isolate was isolated by A.C. Hayward B349"
NCPPB 893,NCPPB893,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Thysanoleana maxima.,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=893,,,1961,No,No,This isolate was isolated by A.C. Hayward B343,"Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?","NCPPB No. 893: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas thysanolaenae Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Mauritius Host: Thysanoleana maxima. Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.? Other references: This isolate was isolated by A.C. Hayward B343"
NCPPB 895,NCPPB895,Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Saccharum officinarum,Malagasy Republic,LMG 8714,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=895,,,1961,No,No,This isolate is also in the collections; LMG 8714 This isolate was isolated by A.C. Hayward B370,"Fatty acid Type C (Dookun, Stead & Autrey 2000)","NCPPB No. 895: Catalogue name: Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type C (Dookun, Stead & Autrey 2000) Other references: This isolate is also in the collections; LMG 8714 This isolate was isolated by A.C. Hayward B370"
NCPPB 896,NCPPB896,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Malagasy Republic,ATCC 33196; LMG 483,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=896,,,1961,No,No,"The donor reference is B462 This isolate is also in the collections; ATCC 33196, LMG 483 This isolate was isolated by ex P. Baudin",,"NCPPB No. 896: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B462 This isolate is also in the collections; ATCC 33196, LMG 483 This isolate was isolated by ex P. Baudin"
NCPPB 897,NCPPB897,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Malagasy Republic,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=897,,,1961,No,No,The donor reference is B463 This isolate was isolated by ex P. Baudin,,NCPPB No. 897: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B463 This isolate was isolated by ex P. Baudin
NCPPB 899,NCPPB899,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D,pv. vasculorum,Saccharum officinarum,Reunion,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=899,,,1961,No,No,This isolate was isolated by A.C. Hayward B377,"Fatty acid Type D(Dookun, Stead & Autrey 2000)","NCPPB No. 899: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D Country: Reunion Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type D(Dookun, Stead & Autrey 2000) Other references: This isolate was isolated by A.C. Hayward B377"
NCPPB 900,NCPPB900,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Saccharum officinarum,Reunion,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=900,,,1961,No,No,This isolate was isolated by A.C. Hayward B386,"Fatty acid Type D(Dookun, Stead & Autrey 2000)","NCPPB No. 900: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Type D Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Reunion Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type D(Dookun, Stead & Autrey 2000) Other references: This isolate was isolated by A.C. Hayward B386"
NCPPB 901,NCPPB901,Xanthomonas sp. Dowson 1939,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,,Gossypium sp,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=901,,,1961,No,No,The donor reference is B406 The source of this isolate was ex N.B. Kulkarni,"The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. The Fatty Acid Profile is typical of a Xanthomonas sp. (not X. a. malvacearum, NCPPB)","NCPPB No. 901: Catalogue name: Xanthomonas sp. Dowson 1939 Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: India Host: Gossypium sp Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. The Fatty Acid Profile is typical of a Xanthomonas sp. (not X. a. malvacearum, NCPPB) Other references: The donor reference is B406 The source of this isolate was ex N.B. Kulkarni"
NCPPB 902,NCPPB902,Xanthomonas vasicola Vauterin et al. 1995,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Tripsacum laxum. See Mulder (1961).,Sri Lanka,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=902,,,1961,No,No,The donor reference is B454 The source of this isolate was ex N. Shanmuganathan,"Studholme et al. 2020 place this organism in X. vasicola, pathovar unspecified. Fatty acid profile typical of Xanthomonas, close to X. vasicola NCPPB 1394, NCPPB 1395, NCPPB 1396","NCPPB No. 902: Catalogue name: Xanthomonas vasicola Vauterin et al. 1995 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Sri Lanka Host: Tripsacum laxum. See Mulder (1961). Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Studholme et al. 2020 place this organism in X. vasicola, pathovar unspecified. Fatty acid profile typical of Xanthomonas, close to X. vasicola NCPPB 1394, NCPPB 1395, NCPPB 1396 Other references: The donor reference is B454 The source of this isolate was ex N. Shanmuganathan"
NCPPB 916,NCPPB916,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Saccharum officinarum,Trinidad,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=916,,,1961,No,No,The donor reference is B136,Causes ''red stripe'' symptoms. Pathovar unspecified..Fatty acid profile typical of xanthomonas..= X.c.vasculorum E,NCPPB No. 916: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Trinidad Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Causes ''red stripe'' symptoms. Pathovar unspecified..Fatty acid profile typical of xanthomonas..= X.c.vasculorum E Other references: The donor reference is B136
NCPPB 917,NCPPB917,Xanthomonas sp. Dowson 1939,,Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995,,Saccharum officinarum,Trinidad,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=917,,,1961,No,No,This isolate was isolated by A.C. Hayward B130,Causes 'red stripe' symptoms. Pathovar unspecified..Fatty acid profile typical of xanthomonas. But not.= X.c.vasculorum E,NCPPB No. 917: Catalogue name: Xanthomonas sp. Dowson 1939 Other name: Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995 Country: Trinidad Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Notes: Causes 'red stripe' symptoms. Pathovar unspecified..Fatty acid profile typical of xanthomonas. But not.= X.c.vasculorum E Other references: This isolate was isolated by A.C. Hayward B130
NCPPB 918,NCPPB918,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Malagasy Republic,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=918,,,1961,No,No,This isolate was isolated by A.C. Hayward B373,,NCPPB No. 918: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by A.C. Hayward B373
NCPPB 922,NCPPB922,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Malagasy Republic,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=922,,,1961,No,No,The donor reference is B499 This isolate was isolated by ex P. Baudin 1213A,,NCPPB No. 922: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Malagasy Republic Host: Saccharum officinarum Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B499 This isolate was isolated by ex P. Baudin 1213A
NCPPB 923,NCPPB923,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995,Xanthomonas pruni,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,pv. pruni,Prunus domestica,South Africa,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=923,,,1961,No,No,The donor reference is B495 This isolate was isolated by ex H.T. Brodrick A13a,,NCPPB No. 923: Catalogue name: Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995 Name as received: Xanthomonas pruni Other name: Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978 Country: South Africa Host: Prunus domestica Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B495 This isolate was isolated by ex H.T. Brodrick A13a
NCPPB 924,NCPPB924,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995,Xanthomonas pruni,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,pv. pruni,Prunus domestica,South Africa,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=924,,,1961,No,No,The donor reference is B497 This isolate was isolated by ex H.T. Brodrick A26,,NCPPB No. 924: Catalogue name: Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995 Name as received: Xanthomonas pruni Other name: Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978 Country: South Africa Host: Prunus domestica Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B497 This isolate was isolated by ex H.T. Brodrick A26
NCPPB 926,NCPPB926,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995,Xanthomonas pruni,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,pv. pruni,Prunus domestica,South Africa,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=926,,,1961,No,No,The donor reference is B494 This isolate was isolated by ex H.T. Brodrick A12,,NCPPB No. 926: Catalogue name: Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995 Name as received: Xanthomonas pruni Other name: Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978 Country: South Africa Host: Prunus domestica Year Added: 1961 Type strain of the species: No Pathotype strain: No Other references: The donor reference is B494 This isolate was isolated by ex H.T. Brodrick A12
NCPPB 935,NCPPB935,Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995,Xanthomonas corylina,Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978,pv. corylina,Corylus maxima,USA,ATCC 19313; ICMP 5726; LMG 689; CFBP 1159,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=935,,,1961,No,Yes,"This isolate is also in the collections; ATCC 19313, ICMP 5726, ICPB XC 12, LMG 689, CFBP 1159 The source of this isolate was ex P.W. Miller 5262",,"NCPPB No. 935: Catalogue name: Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995 Name as received: Xanthomonas corylina Other name: Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978 Country: USA Host: Corylus maxima Year Added: 1961 Type strain of the species: No Pathotype strain: Yes Other references: This isolate is also in the collections; ATCC 19313, ICMP 5726, ICPB XC 12, LMG 689, CFBP 1159 The source of this isolate was ex P.W. Miller 5262"
