ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains
NCPPB 935	NCPPB 935	NCPPB935	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 935
NCPPB 936	NCPPB 936	NCPPB936	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 936
NCPPB 937	NCPPB 937	NCPPB937	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 937
NCPPB 938	NCPPB 938	NCPPB938	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 938
NCPPB 939	NCPPB 939	NCPPB939	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 939
NCPPB 940	NCPPB 940	NCPPB940	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 940
NCPPB 941	NCPPB 941	NCPPB941	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 941
NCPPB 942	NCPPB 942	NCPPB942	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 942
NCPPB 969	NCPPB 969	NCPPB969	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 969
NCPPB 970	NCPPB 970	NCPPB970	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 970
NCPPB 971	NCPPB 971	NCPPB971	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 971
NCPPB 972	NCPPB 972	NCPPB972	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 972
NCPPB 973	NCPPB 973	NCPPB973	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 973
NCPPB 974	NCPPB 974	NCPPB974	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 974
NCPPB 975	NCPPB 975	NCPPB975	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 975
NCPPB 976	NCPPB 976	NCPPB976	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 976
NCPPB 983	NCPPB 983	NCPPB983	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 983
NCPPB 984	NCPPB 984	NCPPB984	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 984
NCPPB 985	NCPPB 985	NCPPB985	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 985
NCPPB 986	NCPPB 986	NCPPB986	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 986
NCPPB 987	NCPPB 987	NCPPB987	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 987
NCPPB 989	NCPPB 989	NCPPB989	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 989
NCPPB 990	NCPPB 990	NCPPB990	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 990
NCPPB 993	NCPPB 993	NCPPB993	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 993
NCPPB 994	NCPPB 994	NCPPB994	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 994
NCPPB 1009	NCPPB 1009	NCPPB1009	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 1009
NCPPB 1014	NCPPB 1014	NCPPB1014	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 1014
