comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v1_v3	NCPPB 1698	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1699	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1699	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1700	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1700	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1701	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1701	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1712	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1712	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1713	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v1_v3	NCPPB 1713	changed	alternative_names	v3_contains_old_value	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978
v2_v3	NCPPB 1714	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v1_v3	NCPPB 1714	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v1_v2	NCPPB 1717	changed	name_as_received	formatting_only	X. phaseoli f.sp . sojense	X. phaseoli f.sp. sojense
v2_v3	NCPPB 1717	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v1_v3	NCPPB 1717	changed	name_as_received	formatting_only	X. phaseoli f.sp . sojense	X. phaseoli f.sp. sojense
v1_v3	NCPPB 1717	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995
v2_v3	NCPPB 1754	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas euvesicatoria Jones et al. 2006
v2_v3	NCPPB 1754	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1754	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas euvesicatoria Jones et al. 2006
v1_v3	NCPPB 1754	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v2_v3	NCPPB 1755	changed	alternative_names	value_added		Xanthomonas campestris pv. ionidii (Padhya & Patel 1963) Dye 1978
v1_v3	NCPPB 1755	changed	alternative_names	value_added		Xanthomonas campestris pv. ionidii (Padhya & Patel 1963) Dye 1978
v2_v3	NCPPB 1756	changed	alternative_names	value_added		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978
v1_v3	NCPPB 1756	changed	alternative_names	value_added		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978
v2_v3	NCPPB 1757	changed	alternative_names	value_added		Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978
v1_v3	NCPPB 1757	changed	alternative_names	value_added		Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978
v2_v3	NCPPB 1758	changed	alternative_names	value_added		Xanthomonas campestris pv. coriandri (Srinivasan et al. 1961) Dye 1978
v1_v3	NCPPB 1758	changed	alternative_names	value_added		Xanthomonas campestris pv. coriandri (Srinivasan et al. 1961) Dye 1978
v2_v3	NCPPB 1760	changed	alternative_names	value_added		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978
