query_id	ncppb_number	query_track	query_tier	identifier_raw	identifier_normalized	identifier_type	identifier_strength	expected_genus	retrieval_strategy	query_variants_json	local_match_variants_json	ncbi_database	query_term	page_size	max_records
95759a73c51a200e77d0	NCPPB 3586	ncppb_number	exact_full_identifier	NCPPB 3586	NCPPB3586	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3586"",""NCPPB3586"",""NCPPB:3586""]"	"[""NCPPB 3586"",""NCPPB3586"",""NCPPB:3586""]"	biosample	"(""NCPPB 3586""[Text Word] OR ""NCPPB3586""[Text Word] OR ""NCPPB:3586""[Text Word])"	100	500
c88c08461a91c212aad7	NCPPB 3587	ncppb_number	exact_full_identifier	NCPPB 3587	NCPPB3587	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3587"",""NCPPB3587"",""NCPPB:3587""]"	"[""NCPPB 3587"",""NCPPB3587"",""NCPPB:3587""]"	biosample	"(""NCPPB 3587""[Text Word] OR ""NCPPB3587""[Text Word] OR ""NCPPB:3587""[Text Word])"	100	500
26d3c8e7adb704085690	NCPPB 3588	ncppb_number	exact_full_identifier	NCPPB 3588	NCPPB3588	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3588"",""NCPPB3588"",""NCPPB:3588""]"	"[""NCPPB 3588"",""NCPPB3588"",""NCPPB:3588""]"	biosample	"(""NCPPB 3588""[Text Word] OR ""NCPPB3588""[Text Word] OR ""NCPPB:3588""[Text Word])"	100	500
c30def8f76b5bfe787b3	NCPPB 3589	ncppb_number	exact_full_identifier	NCPPB 3589	NCPPB3589	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3589"",""NCPPB3589"",""NCPPB:3589""]"	"[""NCPPB 3589"",""NCPPB3589"",""NCPPB:3589""]"	biosample	"(""NCPPB 3589""[Text Word] OR ""NCPPB3589""[Text Word] OR ""NCPPB:3589""[Text Word])"	100	500
364464f6e1284d65a48b	NCPPB 3592	ncppb_number	exact_full_identifier	NCPPB 3592	NCPPB3592	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3592"",""NCPPB3592"",""NCPPB:3592""]"	"[""NCPPB 3592"",""NCPPB3592"",""NCPPB:3592""]"	biosample	"(""NCPPB 3592""[Text Word] OR ""NCPPB3592""[Text Word] OR ""NCPPB:3592""[Text Word])"	100	500
fe5148d24c914551cdc6	NCPPB 3593	ncppb_number	exact_full_identifier	NCPPB 3593	NCPPB3593	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3593"",""NCPPB3593"",""NCPPB:3593""]"	"[""NCPPB 3593"",""NCPPB3593"",""NCPPB:3593""]"	biosample	"(""NCPPB 3593""[Text Word] OR ""NCPPB3593""[Text Word] OR ""NCPPB:3593""[Text Word])"	100	500
a4e411cc33098aea7859	NCPPB 3595	ncppb_number	exact_full_identifier	NCPPB 3595	NCPPB3595	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3595"",""NCPPB3595"",""NCPPB:3595""]"	"[""NCPPB 3595"",""NCPPB3595"",""NCPPB:3595""]"	biosample	"(""NCPPB 3595""[Text Word] OR ""NCPPB3595""[Text Word] OR ""NCPPB:3595""[Text Word])"	100	500
6f2d8a55862b2c5c7d11	NCPPB 3596	ncppb_number	exact_full_identifier	NCPPB 3596	NCPPB3596	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3596"",""NCPPB3596"",""NCPPB:3596""]"	"[""NCPPB 3596"",""NCPPB3596"",""NCPPB:3596""]"	biosample	"(""NCPPB 3596""[Text Word] OR ""NCPPB3596""[Text Word] OR ""NCPPB:3596""[Text Word])"	100	500
bcfc2a0f088895a4921a	NCPPB 3607	ncppb_number	exact_full_identifier	NCPPB 3607	NCPPB3607	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3607"",""NCPPB3607"",""NCPPB:3607""]"	"[""NCPPB 3607"",""NCPPB3607"",""NCPPB:3607""]"	biosample	"(""NCPPB 3607""[Text Word] OR ""NCPPB3607""[Text Word] OR ""NCPPB:3607""[Text Word])"	100	500
ad9b5bb9a05be4c67eb7	NCPPB 3608	ncppb_number	exact_full_identifier	NCPPB 3608	NCPPB3608	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3608"",""NCPPB3608"",""NCPPB:3608""]"	"[""NCPPB 3608"",""NCPPB3608"",""NCPPB:3608""]"	biosample	"(""NCPPB 3608""[Text Word] OR ""NCPPB3608""[Text Word] OR ""NCPPB:3608""[Text Word])"	100	500
