ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 3948	present_in_both	complete_genome_available	complete_genome_available	no	SAMN42178462	SAMN42178462	no	GCF_041489455.1	GCF_041489455.1	no	SRR30037950; SRR29654625	SRR29654625; SRR30037950	no	SAMN42178462	
NCPPB 3949	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3950	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3951	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3953	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3954	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3955	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3956	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3957	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3959	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN42161491	SAMN42161491	no	GCF_056675575.1	GCF_056675575.1	no	SRR29644155	SRR29644155	no	SAMN42161491	
NCPPB 3960	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4013	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN56511371; SAMN22555464	SAMN56511371; SAMN22555464	no	GCF_020784175.1	GCF_020784175.1	no	SRR37789905; SRR37629088; SRR22272570	SRR37629088; SRR37789905; SRR22272570	no	SAMN56511371; SAMN22555464	
NCPPB 4014	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4015	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4031	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4032	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4033	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 4034	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
