query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	host	geographic_location	collection_date	isolation_source	attributes_json	raw_xml_cache_path	source_url	status	error
9a5a419bbd06149334ec; 4b46fbf21e32013cc52c	NCPPB 1680	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1680	3257737	SAMN03257737	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1680		NCPPB:1680				BioSample: SAMN03257737; NCPPB 1680; SRA: SRS954508	Phaseolus vulgaris	Tanzania	1964		"{""collection_date"":[""1964""],""culture_collection"":[""NCPPB:1680""],""geo_loc_name"":[""Tanzania""],""host"":[""Phaseolus vulgaris""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 1680""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03257737	ok	
9a5a419bbd06149334ec; 085e34f48c0fbe3779e8	NCPPB 1811	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1811	3257682	SAMN03257682	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1811		NCPPB:1811				BioSample: SAMN03257682; NCPPB 1811; SRA: SRS954507	Phaseolus vulgaris	Romania	1966		"{""collection_date"":[""1966""],""culture_collection"":[""NCPPB:1811""],""geo_loc_name"":[""Romania""],""host"":[""Phaseolus vulgaris""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 1811""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03257682	ok	
9a5a419bbd06149334ec; ba06ca2ace152775e00f	NCPPB 557	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 557	3257620	SAMN03257620	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 557		NCPPB:557				BioSample: SAMN03257620; NCPPB 557; SRA: SRS953208	Phaseolus vulgaris	Sudan	1957		"{""collection_date"":[""1957""],""culture_collection"":[""NCPPB:557""],""geo_loc_name"":[""Sudan""],""host"":[""Phaseolus vulgaris""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 557""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03257620	ok	
9a5a419bbd06149334ec	NCPPB 1420	ncppb_number	expected_genus:Xanthomonas	NCPPB	3175025	SAMN03175025	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1420						BioSample: SAMN03175025; NCPPB 1420; SRA: SRS954506	Phaseolus vulgaris	Hungary	1956	missing	"{""collected_by"":[""Z. Klement""],""collection_date"":[""1956""],""geo_loc_name"":[""Hungary""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 1420""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175025	ok	
9a5a419bbd06149334ec	NCPPB 301	ncppb_number	expected_genus:Xanthomonas	NCPPB	3175018	SAMN03175018	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 301						BioSample: SAMN03175018; NCPPB 301; SRA: SRS954505	Phaseolus vulgaris	Canada	1951	missing	"{""collection_date"":[""1951""],""geo_loc_name"":[""Canada""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 301""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175018	ok	
9a5a419bbd06149334ec	NCPPB 646	ncppb_number	expected_genus:Xanthomonas	NCPPB	3175008	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1646						BioSample: SAMN03175008; NCPPB 646; SRA: SRS954504	Phaseolus vulgaris	Australia	1964	missing	"{""collection_date"":[""1964""],""geo_loc_name"":[""Australia""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 1646""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	ok	
9a5a419bbd06149334ec	NCPPB 1646	ncppb_number	expected_genus:Xanthomonas	NCPPB	3175008	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1646						BioSample: SAMN03175008; NCPPB 646; SRA: SRS954504	Phaseolus vulgaris	Australia	1964	missing	"{""collection_date"":[""1964""],""geo_loc_name"":[""Australia""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""Bacterial culture""],""strain"":[""NCPPB 1646""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03175008	ok	
9a5a419bbd06149334ec; 18640f050f4d752e7ce8	NCPPB 1495	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1495	3142808	SAMN03142808	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1495		NCPPB:1495				BioSample: SAMN03142808; NCPPB 1495; SRA: SRS954103	Phaseolus vulgaris	United Kingdom	1963	missing	"{""collected_by"":[""G.E. Jones""],""collection_date"":[""1963""],""culture-collection"":[""NCPPB:1495""],""geo_loc_name"":[""United Kingdom""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""missing""],""strain"":[""NCPPB 1495""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142808	ok	
9a5a419bbd06149334ec; 3cc8567d2a6cd3338174	NCPPB 1158	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1158	3142401	SAMN03142401	Xanthomonas phaseoli pv. phaseoli	317013	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1158						BioSample: SAMN03142401; NCPPB1158; SRA: SRS954101	Phaseolus vulgaris	United Kingdom	1961	missing	"{""collected_by"":[""D.C. Graham""],""collection_date"":[""1961""],""geo_loc_name"":[""United Kingdom""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""missing""],""pathovar"":[""phaseoli""],""sample_type"":[""missing""],""strain"":[""NCPPB 1158""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03142401	ok	
9a5a419bbd06149334ec; 67d78d89f53f123f465c	NCPPB 1326	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1326	2471728	SAMN02471728	Xanthomonas vasicola pv. vasculorum NCPPB 1326	1094174	Sample from Xanthomonas vasicola pv. vasculorum NCPPB 1326	NCPPB 1326		NCPPB:1326				BioSample: SAMN02471728; AKBK	sugarcane				"{""culture-collection"":[""NCPPB:1326""],""host"":[""sugarcane""],""pathovar"":[""vasculorum""],""strain"":[""NCPPB 1326""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02471728	ok	
9a5a419bbd06149334ec; 8a659b5e531ef67a2428	NCPPB 4393	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 4393	2471171	SAMN02471171	Xanthomonas sacchari NCPPB 4393	1084662	Sample from Xanthomonas sacchari NCPPB 4393	NCPPB 4393		NCPPB:4393				BioSample: SAMN02471171; AGDB	insect	Tanzania		insect associated with banana plant	"{""country"":[""Tanzania""],""culture-collection"":[""NCPPB:4393""],""host"":[""insect""],""isolation-source"":[""insect associated with banana plant""],""strain"":[""NCPPB 4393""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02471171	ok	
9a5a419bbd06149334ec; 60db16b820ca50380917	NCPPB 1447	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1447	2469596	SAMN02469596	Xanthomonas arboricola pv. juglandis str. NCPPB 1447	1169848	Sample from Xanthomonas arboricola pv. juglandis str. NCPPB 1447	NCPPB 1447		NCPPB:1447				BioSample: SAMN02469596; AJTL					"{""culture-collection"":[""NCPPB:1447""],""pathovar"":[""juglandis""],""strain"":[""NCPPB 1447""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02469596	ok	
9a5a419bbd06149334ec	NCPPB 895	ncppb_number	expected_genus:Xanthomonas	NCPPB	2439007	SAMN02439007	Xanthomonas vasicola pv. vasculorum NCPPB 895	1184266	General Sample for Xanthomonas vasicola pv. vasculorum NCPPB 895	NCPPB 895		NCPPB: 895				BioSample: SAMN02439007; Xvv 895; SRA: SRS512944		Madagascar: former Malagasy Republic	1960		"{""collection_date"":[""1960""],""culture_collection"":[""NCPPB: 895""],""geo_loc_name"":[""Madagascar: former Malagasy Republic""],""pathovar"":[""vasculorum""],""specific_host"":[""Saccharum officinarum""],""strain"":[""NCPPB 895""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02439007	ok	
9a5a419bbd06149334ec	NCPPB 1381	ncppb_number	expected_genus:Xanthomonas	NCPPB	991255	SAMN00991255	Xanthomonas vasicola pv. vasculorum NCPPB 1381	1094180	Xvv NCPPB 1381	NCPPB 1381						BioSample: SAMN00991255; University of Exeter: Xvv NCPPB 1381; SRA: SRS331875					"{""strain"":[""NCPPB 1381""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN00991255	ok	
9a5a419bbd06149334ec; dedc3b9c8090fac812ac	NCPPB 1394	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1394	3145753	SAMN03145753	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 1394		NCPPB:1394				BioSample: SAMN03145753; NCPPB 1394		Sri Lanka	1963	Tripsacum laxum	"{""collected_by"":[""A.C. Hayward""],""collection_date"":[""1963""],""culture-collection"":[""NCPPB:1394""],""geo_loc_name"":[""Sri Lanka""],""isolation_source"":[""Tripsacum laxum""],""sample_type"":[""missing""],""strain"":[""NCPPB 1394""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03145753	ok	
9a5a419bbd06149334ec	NCPPB 1832	ncppb_number	expected_genus:Xanthomonas	NCPPB	2903333	SAMN02903333	Xanthomonas arboricola pv. celebensis	454957	Microbe sample from Xanthomonas arboricola pv. celebensis	NCPPB 1832						BioSample: SAMN02903333; NCPPB 1832; SRA: SRS660421	Musa sp.	New Zealand	1960	banana plant	"{""collection_date"":[""1960""],""geo_loc_name"":[""New Zealand""],""host"":[""Musa sp.""],""isolation_source"":[""banana plant""],""pathovar"":[""celebensis""],""sample_type"":[""missing""],""strain"":[""NCPPB 1832""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02903333	ok	
9a5a419bbd06149334ec	NCPPB 1630	ncppb_number	expected_genus:Xanthomonas	NCPPB	2854337	SAMN02854337	Xanthomonas arboricola pv. celebensis	454957	Microbe sample from Xanthomonas arboricola pv. celebensis	NCPPB 1630						BioSample: SAMN02854337; NCPPB 1630; SRA: SRS660420	Musa sp. (banana)	New Zealand	1960	banana plant	"{""collection_date"":[""1960""],""geo_loc_name"":[""New Zealand""],""host"":[""Musa sp. (banana)""],""isolation_source"":[""banana plant""],""pathovar"":[""celebensis""],""sample_type"":[""missing""],""strain"":[""NCPPB 1630""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02854337	ok	
9a5a419bbd06149334ec	NCPPB 900	ncppb_number	expected_genus:Xanthomonas	NCPPB	2854335	SAMN02854335	Xanthomonas axonopodis pv. vasculorum	325777	Microbe sample from Xanthomonas axonopodis pv. vasculorum	NCPPB 900						BioSample: SAMN02854335; NCPPB 900; SRA: SRS660419	Saccharum officinarum (sugarcane)	Reunion	1960	sugarcane plant	"{""collection_date"":[""1960""],""geo_loc_name"":[""Reunion""],""host"":[""Saccharum officinarum (sugarcane)""],""isolation_source"":[""sugarcane plant""],""pathovar"":[""vasculorum""],""sample_type"":[""missing""],""strain"":[""NCPPB 900""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN02854335	ok	
9a5a419bbd06149334ec; 8061e569bba9e60a3b7f	NCPPB 206	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 206	991256	SAMN00991256	Xanthomonas vasicola pv. vasculorum NCPPB 206	1094181	Xvv NCPPB206	NCPPB 206						BioSample: SAMN00991256; University of Exeter: Xvv NCPPB206; SRA: SRS331876					"{""pathovar"":[""vasculorum NCPPB 206""],""strain"":[""NCPPB 206""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN00991256	ok	
9a5a419bbd06149334ec; dedc3b9c8090fac812ac	NCPPB 1394	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1394	3140149	SAMN03140149	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 1394						BioSample: SAMN03140149; NCPPB1394	Tripsacum laxum	Sri Lanka	1963	missing	"{""collection_date"":[""1963""],""geo_loc_name"":[""Sri Lanka""],""host"":[""Tripsacum laxum""],""isolation_source"":[""missing""],""sample_type"":[""missing""],""strain"":[""NCPPB 1394""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03140149	ok	
9a5a419bbd06149334ec; 0f7ee51b1a7d256fc843	NCPPB 989	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 989	3140188	SAMN03140188	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 989						BioSample: SAMN03140188; NCPPB989	Holcus sp.	USA	1942	missing	"{""collection_date"":[""1942""],""geo_loc_name"":[""USA""],""host"":[""Holcus sp.""],""isolation_source"":[""missing""],""sample_type"":[""missing""],""strain"":[""NCPPB 989""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03140188	ok	
9a5a419bbd06149334ec; 2379e0d24c5c6de55898	NCPPB 1395	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1395	3140175	SAMN03140175	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 1395						BioSample: SAMN03140175; NCPPB1395	Tripsacum laxum	Sri Lanka	1963	missing	"{""collection_date"":[""1963""],""geo_loc_name"":[""Sri Lanka""],""host"":[""Tripsacum laxum""],""isolation_source"":[""missing""],""sample_type"":[""missing""],""strain"":[""NCPPB 1395""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03140175	ok	
9a5a419bbd06149334ec; 0128cfdedb07f537429b	NCPPB 902	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 902	3140174	SAMN03140174	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 902						BioSample: SAMN03140174; NCPPB902	Tripsacum laxum	Sri Lanka	1961	missing	"{""collection_date"":[""1961""],""geo_loc_name"":[""Sri Lanka""],""host"":[""Tripsacum laxum""],""isolation_source"":[""missing""],""sample_type"":[""missing""],""strain"":[""NCPPB 902""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03140174	ok	
9a5a419bbd06149334ec; bf24c9ca35f1a80dbf76	NCPPB 1396	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1396	3140173	SAMN03140173	Xanthomonas vasicola	56459	Microbe sample from Xanthomonas vasicola	NCPPB 1396						BioSample: SAMN03140173; NCPPB1396	Tripsacum laxum	Sri Lanka	1963	missing	"{""collection_date"":[""1963""],""geo_loc_name"":[""Sri Lanka""],""host"":[""Tripsacum laxum""],""isolation_source"":[""missing""],""sample_type"":[""missing""],""strain"":[""NCPPB 1396""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03140173	ok	
9a5a419bbd06149334ec	NCPPB 1326	ncppb_number	expected_genus:Xanthomonas	NCPPB	991247	SAMN00991247	Xanthomonas vasicola pv. vasculorum NCPPB 1326	1094174	Xvv NCPPB 1326	NCPPB 1326						BioSample: SAMN00991247; University of Exeter: Xvv NCPPB 1326; SRA: SRS312433					"{""strain"":[""NCPPB 1326""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN00991247	ok	
9a5a419bbd06149334ec; 8a659b5e531ef67a2428	NCPPB 4393	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 4393	752561	SAMN00752561	Xanthomonas sacchari NCPPB 4393	1084662	Xanthomonas sacchari NCPPB 4393	NCPPB 4393						BioSample: SAMN00752561; The University of East Anglia: NCPPB4393; SRA: SRS270178					"{""strain"":[""NCPPB 4393""]}"	.cache/ncbi/v2_1/efetch_9a6b3525df161b5bebe32f3baffc9f81c75f0978908c4b9416c7b69b38741858.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN00752561	ok	
73c0b5fd40862afb8c1c; 68b4024c1b77d4c9f04d	NCPPB 2217	ncppb_number	unfiltered_fallback; exact_full_identifier	NCPPB; NCPPB 2217	56511392	SAMN56511392	Staphylococcus aureus	1280	Genome sequencing of NCPPB 2217 (listed as Xylophilus ampelinus)	NCPPB 2217		NCPPB:2217				BioSample: SAMN56511392; NCPPB_2217; SRA: SRS28401890	Vitis vinifera var. sultana	Greece	1968		"{""collected_by"":[""C.G. Panagopoulos""],""collection_date"":[""1968""],""culture_collection"":[""NCPPB:2217""],""geo_loc_name"":[""Greece""],""host"":[""Vitis vinifera var. sultana""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2217""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511392	ok	
4df90705532931103d54	NCPPB 45	ncppb_number	exact_full_identifier	NCPPB 45																				no_hit	
d0fa3e2697fab0bcb58f	NCPPB 109	ncppb_number	exact_full_identifier	NCPPB 109																				no_hit	
4a51f2f4599bdf83a6d1	NCPPB 174	ncppb_number	exact_full_identifier	NCPPB 174																				no_hit	
3f16812ff653fcce3d2e	NCPPB 181	ncppb_number	exact_full_identifier	NCPPB 181																				no_hit	
b6ba102061826a27636d	NCPPB 182	ncppb_number	exact_full_identifier	NCPPB 182																				no_hit	
ef8961f4db0089510ec0	NCPPB 184	ncppb_number	exact_full_identifier	NCPPB 184																				no_hit	
6c4221c88f7051dfe69f	NCPPB 185	ncppb_number	exact_full_identifier	NCPPB 185																				no_hit	
308d78ef14e62606129c	NCPPB 186	ncppb_number	exact_full_identifier	NCPPB 186																				no_hit	
bfc47278172837a7a2d1	NCPPB 187	ncppb_number	exact_full_identifier	NCPPB 187																				no_hit	
efa2b0396a4597791e39	NCPPB 195	ncppb_number	exact_full_identifier	NCPPB 195																				no_hit	
c009cfbb1df7b6228e16	NCPPB 196	ncppb_number	exact_full_identifier	NCPPB 196																				no_hit	
268c0c90d8c2255a572c	NCPPB 200	ncppb_number	exact_full_identifier	NCPPB 200																				no_hit	
555a2d554e9e360210e0	NCPPB 205	ncppb_number	exact_full_identifier	NCPPB 205																				no_hit	
6f56de4607197aa51ef6	NCPPB 208	ncppb_number	exact_full_identifier	NCPPB 208																				no_hit	
4baa15ee115db917a209	NCPPB 210	ncppb_number	exact_full_identifier	NCPPB 210																				no_hit	
b3b78c5e1cb644901ae7	NCPPB 212	ncppb_number	exact_full_identifier	NCPPB 212																				no_hit	
32a9b1502949f361e150	NCPPB 230	ncppb_number	exact_full_identifier	NCPPB 230																				no_hit	
0d680d44812b7c454738	NCPPB 240	ncppb_number	exact_full_identifier	NCPPB 240																				no_hit	
9b6ea6f000db3105195f	NCPPB 241	ncppb_number	exact_full_identifier	NCPPB 241																				no_hit	
c1f9e9fa97a5574cac54	NCPPB 243	ncppb_number	exact_full_identifier	NCPPB 243																				no_hit	
585ee9bfb292ccc1ef53	NCPPB 273	ncppb_number	exact_full_identifier	NCPPB 273																				no_hit	
fae4fdddef0dd798542a	NCPPB 279	ncppb_number	exact_full_identifier	NCPPB 279																				no_hit	
6e58055cffa77e53a371	NCPPB 290	ncppb_number	exact_full_identifier	NCPPB 290																				no_hit	
9eebf947d07fc67fe43d	NCPPB 293	ncppb_number	exact_full_identifier	NCPPB 293																				no_hit	
74b6176ee99ca2152aaa	NCPPB 301	ncppb_number	exact_full_identifier	NCPPB 301																				no_hit	
9d69edc904c4175e0f98	NCPPB 302	ncppb_number	exact_full_identifier	NCPPB 302																				no_hit	
4089d53854013cb3753b	NCPPB 305	ncppb_number	exact_full_identifier	NCPPB 305																				no_hit	
82f07c28db0944fae07c	NCPPB 315	ncppb_number	exact_full_identifier	NCPPB 315																				no_hit	
4ee9b84ba5b8b83a660c	NCPPB 348	ncppb_number	exact_full_identifier	NCPPB 348																				no_hit	
96216a310796cd101294	NCPPB 362	ncppb_number	exact_full_identifier	NCPPB 362																				no_hit	
6e0014c71efe6759f728	NCPPB 400	ncppb_number	exact_full_identifier	NCPPB 400																				no_hit	
04a98846447b66ab43d5	NCPPB 403	ncppb_number	exact_full_identifier	NCPPB 403																				no_hit	
5e4a03e1fb34ee5b534a	NCPPB 404	ncppb_number	exact_full_identifier	NCPPB 404																				no_hit	
d64a9ea8d46186f0099f	NCPPB 405	ncppb_number	exact_full_identifier	NCPPB 405																				no_hit	
2b6a0b816e167dab1e48	NCPPB 406	ncppb_number	exact_full_identifier	NCPPB 406	13783185	SAMN13783185	Xanthomonas citri pv. citri	611301	Microbe sample from Xanthomonas citri pv. citri	NCPPB406						BioSample: SAMN13783185; NCPPB406; SRA: SRS6252268	Citrus sp.	New Zealand	1957	Citrus leaf	"{""collection_date"":[""1957""],""geo_loc_name"":[""New Zealand""],""host"":[""Citrus sp.""],""isolation_source"":[""Citrus leaf""],""pathovar"":[""citri""],""sample_type"":[""pure culture""],""strain"":[""NCPPB406""]}"	.cache/ncbi/v2_1/efetch_5436aa06399483d326b3bb35b35449299ae8390c479f935bb1cdc706a2106a2a.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN13783185	ok	
ec623921845e8d1bda46	NCPPB 407	ncppb_number	exact_full_identifier	NCPPB 407																				no_hit	
c431961cad2b2c7a3df2	NCPPB 408	ncppb_number	exact_full_identifier	NCPPB 408																				no_hit	
c40614cb739d3772248e	NCPPB 409	ncppb_number	exact_full_identifier	NCPPB 409																				no_hit	
1fda0cc891baf9b5a063	NCPPB 410	ncppb_number	exact_full_identifier	NCPPB 410																				no_hit	
7f69f598a14d677f5aab	NCPPB 411	ncppb_number	exact_full_identifier	NCPPB 411																				no_hit	
f74e76d6682b5aeff114	NCPPB 412	ncppb_number	exact_full_identifier	NCPPB 412																				no_hit	
adf36f56ee69437fec84	NCPPB 414	ncppb_number	exact_full_identifier	NCPPB 414																				no_hit	
b941a97c2e27d1a1a182	NCPPB 415	ncppb_number	exact_full_identifier	NCPPB 415																				no_hit	
a7d4ce9af1ba14f4e8d1	NCPPB 418	ncppb_number	exact_full_identifier	NCPPB 418																				no_hit	
ad552111b32130725bce	NCPPB 419	ncppb_number	exact_full_identifier	NCPPB 419																				no_hit	
f983cb079d920319febc	NCPPB 420	ncppb_number	exact_full_identifier	NCPPB 420																				no_hit	
c092c704745287a0c0bf	NCPPB 421	ncppb_number	exact_full_identifier	NCPPB 421																				no_hit	
47c6dfe9c9a5404d9372	NCPPB 422	ncppb_number	exact_full_identifier	NCPPB 422																				no_hit	
0e894fd810006119f572	NCPPB 423	ncppb_number	exact_full_identifier	NCPPB 423																				no_hit	
2481c5e4453a57d1843d	NCPPB 424	ncppb_number	exact_full_identifier	NCPPB 424																				no_hit	
db6db52664e3db93894e	NCPPB 425	ncppb_number	exact_full_identifier	NCPPB 425																				no_hit	
84aec072a50ad1b21be4	NCPPB 457	ncppb_number	exact_full_identifier	NCPPB 457																				no_hit	
2076315c7b7cfe739938	NCPPB 466	ncppb_number	exact_full_identifier	NCPPB 466																				no_hit	
ef09ce6ba2b7ea1cc185	NCPPB 473	ncppb_number	exact_full_identifier	NCPPB 473																				no_hit	
80ce5f836aa6f4a5f726	NCPPB 476	ncppb_number	exact_full_identifier	NCPPB 476																				no_hit	
030190d061afb8126004	NCPPB 477	ncppb_number	exact_full_identifier	NCPPB 477																				no_hit	
