ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 4373	SAMN17386088	17386088	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386088
NCPPB 4373	SAMN17386087	17386087	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386087
NCPPB 4373	SAMN17386086	17386086	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386086
NCPPB 4373	SAMN17386085	17386085	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386085
NCPPB 4373	SAMN17386084	17386084	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386084
NCPPB 4373	SAMN17386083	17386083	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386083
NCPPB 4373	SAMN17386082	17386082	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386082
NCPPB 4373	SAMN17386081	17386081	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386081
NCPPB 4373	SAMN17386080	17386080	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386080
NCPPB 4373	SAMN17386079	17386079	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386079
NCPPB 4373	SAMN17386078	17386078	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386078
NCPPB 4373	SAMN17386077	17386077	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386077
NCPPB 4373	SAMN17386076	17386076	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386076
NCPPB 4373	SAMN17386075	17386075	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386075
NCPPB 4373	SAMN17386074	17386074	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386074
NCPPB 4373	SAMN17386073	17386073	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386073
NCPPB 4373	SAMN17386072	17386072	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386072
NCPPB 4373	SAMN17386071	17386071	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386071
NCPPB 4373	SAMN17386070	17386070	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386070
NCPPB 4373	SAMN17386069	17386069	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386069
NCPPB 4373	SAMN17386068	17386068	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386068
NCPPB 4373	SAMN17386067	17386067	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386067
NCPPB 4373	SAMN17386066	17386066	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386066
NCPPB 4373	SAMN17386065	17386065	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386065
