ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 2904	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2904
NCPPB 2910	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/2910
NCPPB 2914	v1+v2+v3	yes	yes	yes	changed	changed	changed	name_as_received	alternative_names	name_as_received; alternative_names	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	https://ncppb.fera.co.uk/furtherinfo/2914
NCPPB 2918	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names; notes	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/2918
NCPPB 2919	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/2919
NCPPB 2920	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2920
NCPPB 2921	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/2921
NCPPB 2922	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/2922
NCPPB 2925	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names; notes	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/2925
NCPPB 2927	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2927
