ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 2931	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas glycines	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Nepal	Glycine max	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2931	11
NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023		Xanthomonas campestris pv. daturae (Jain, Dange & Siradhana 1975) Bradbury 1986	India	Datura metel	1977	No	Yes			https://ncppb.fera.co.uk/furtherinfo/2932	11
NCPPB 2933	Xanthomonas hortorum Vauterin et al. 1995	Xanthomonas sp. Dowson 1939		UK (Isle of Man)	Calendula officinalis	1977	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas hortorum. Pathovar unspecified. Fatty acid profile typical of Xanthomonas. Close to X. hortorum pv. hederae		https://ncppb.fera.co.uk/furtherinfo/2933	11
NCPPB 2934	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	India	Cayratia carnosa	1977	No	No	Pathovar unspecified. Fatty acid profile typical of xanthomonas. Close to X. translucens.		https://ncppb.fera.co.uk/furtherinfo/2934	11
NCPPB 2935	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023		Xanthomonas campestris pv. daturae (Jain, Dange & Siradhana 1975) Bradbury 1986	India	Datura stramonium	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2935	11
NCPPB 2936	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. argemones (Srinivasan et al. 1961) Dye 1978	India	Argemone mexicana	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2936	11
NCPPB 2938	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas glycines	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Indonesia	Glycine max	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2938	11
NCPPB 2949	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962		Australia	Fragaria ananassa	1977	No	No	WGS (NCPPB March 2024) indicates this X. fragariae strain is in the same phylogenetic group as NCPPB 4055, NCPPB 3743, NCPPB 3028, NCPPB 2473, and NCPPB 1822.		https://ncppb.fera.co.uk/furtherinfo/2949	11
NCPPB 2953	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	France	Populus trichocarpa	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2953	11
NCPPB 2955	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	Aplanobacter populi	Xanthomonas populi subsp. populi (Ride 1958) Ride & Ride 1978	France	Populus canadensis cv. regenerat a	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2955	11
