ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 3932	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	UK	Lactuca sativa	1995	No	No			https://ncppb.fera.co.uk/furtherinfo/3932	15
NCPPB 3942	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	Barbados	Allium cepa	1996	No	No	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/3942	15
NCPPB 3943	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	Barbados	Allium cepa	1996	No	No	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/3943	15
NCPPB 3944	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	Barbados	Allium cepa	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3944	15
NCPPB 3947	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.		Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Brunei	Glycine max	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3947	15
NCPPB 3948	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas campestris pv. poinsettiicola (Patel et al. 1951) Dye 1978	Xanthomonas campestris pv. poinsettiicola (Patel et al. 1951) Dye 1978	Australia	Euphorbia cyathophora	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3948	15
NCPPB 3949	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978	Malaysia	Oryza sativa	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3949	15
NCPPB 3950	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas campestris pv. corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	Chile	Corylus avellana	1996	No	No	Not a Xanthomnadales. MALDI TOF MS AND PCR fail to give results expected of Xanthomonas.		https://ncppb.fera.co.uk/furtherinfo/3950	15
NCPPB 3951	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas campestris pv. oryzae(Ishiyama 1922) Dye 1978	Xanthomonas campestris pv. oryzae (Ishiyama 1922) Dye 1978	Malaysia	Oryza sativa	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3951	15
NCPPB 3953	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas campestris	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Zambia	Triticum aestivum	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3953	15
NCPPB 3954	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Trinidad & Tobago	Solanum lycopersicum	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3954	15
NCPPB 3955	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas campestris pv. undulosa (Smith et al. 1919) Dye 1978	Zambia	Triticum aestivum	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3955	15
NCPPB 3956	Xanthomonas sp. Dowson 1939	Xanthomonas campestris pv undetermined	Xanthomonas campestris	Pakistan	Triticum aestivum (Bread Wheat)	1996	No	No	Fatty Acid Profile indicates X. axonopodis pv. undetermined		https://ncppb.fera.co.uk/furtherinfo/3956	15
NCPPB 3957	Xanthomonas translucens (ex Jones et al. 1917) Vauterin et al. 1995	Xanthomonas campestris pv. undetermined		Zambia	Hordeum vulgare	1996	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas translucens.		https://ncppb.fera.co.uk/furtherinfo/3957	15
NCPPB 3958	Acidovorax sp. Willems et al. 1990 emend. Willems et al. 1992	Xanthomonas campestris pv. vasculorum (unlike translucens group)		Zambia	Triticale	1997	No	No	Fatty Acid Profile indicates Acidovorax sp.		https://ncppb.fera.co.uk/furtherinfo/3958	15
NCPPB 3959	Xanthomonas hortorum Vauterin et al. 1995	Xanthomonas campestris pv undetermined	Xanthomonas campestris	New Zealand	Persea americana	1996	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas hortorum.		https://ncppb.fera.co.uk/furtherinfo/3959	16
NCPPB 3960	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium sp.	1996	No	No			https://ncppb.fera.co.uk/furtherinfo/3960	16
NCPPB 4013	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995		USA	Asclepias syriaca	1997	No	Yes			https://ncppb.fera.co.uk/furtherinfo/4013	16
NCPPB 4014	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995		USA	Asclepias syriaca	1997	No	No			https://ncppb.fera.co.uk/furtherinfo/4014	16
NCPPB 4015	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995	Xanthomonas campestris pv. asclepiadis Flynn & Vidaver 1995		USA	Asclepias syriaca	1997	No	No			https://ncppb.fera.co.uk/furtherinfo/4015	16
NCPPB 4031	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium x hortorum	1997	No	No			https://ncppb.fera.co.uk/furtherinfo/4031	16
NCPPB 4032	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas campestris pv. pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium x hortorum	1997	No	No			https://ncppb.fera.co.uk/furtherinfo/4032	16
NCPPB 4033	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	USA	Lactuca sativa	1998	No	No			https://ncppb.fera.co.uk/furtherinfo/4033	16
NCPPB 4034	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	USA	Lactuca sativa	1998	No	No			https://ncppb.fera.co.uk/furtherinfo/4034	16
NCPPB 4037	Xanthomonas sp. Dowson 1939	Xanthomonas campestris pv undetermined	Xanthomonas campestris	UK	Nemesia sp.	1998	No	No	Not known to be pathogenic to Nemesia		https://ncppb.fera.co.uk/furtherinfo/4037	16
NCPPB 4058	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	Xanthomonas axonopodis pv. vitians (Brown 1918) Vauterin et al. 1995; Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978	UK	Lactuca sativa	1999	No	No			https://ncppb.fera.co.uk/furtherinfo/4058	16
NCPPB 4181	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962				2000	No	No	WGS (NCPPB March 2024) indicates this X. fragariae strain is in the same phylogenetic group as NCPPB 4772.		https://ncppb.fera.co.uk/furtherinfo/4181	16
NCPPB 4182	Xanthomonas arboricola pv. fragariae Janse et al 2001	Xanthomonas arboricola pv fragariae Janse et al 2001		Italy	Fragaria (x)ananassa	2000	No	No			https://ncppb.fera.co.uk/furtherinfo/4182	16
NCPPB 4183	Xanthomonas arboricola pv. fragariae Janse et al 2001	Xanthomonas arboricola pv fragariae Janse et al 2001		Italy	Fragaria (x)ananassa	2000	No	No			https://ncppb.fera.co.uk/furtherinfo/4183	16
NCPPB 4210	Xanthomonas sp. Dowson 1939			India	Cardiocrinum giganteum	2000	No	No	Not a Xanthomonad. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274.		https://ncppb.fera.co.uk/furtherinfo/4210	16
NCPPB 4231	Xanthomonas sp. Dowson 1939	Xanthomonas sp.		UK	Beta vulgaris var. Cicla (Chard) Seed	2001	No	No			https://ncppb.fera.co.uk/furtherinfo/4231	16
NCPPB 4232	Xanthomonas sp. Dowson 1939	Xanthomonas sp.		UK	Beta vulgaris var. Cicla (Chard) Seed	2001	No	No			https://ncppb.fera.co.uk/furtherinfo/4232	16
NCPPB 4321	Xanthomonas euvesicatoria pv. perforans (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas perforans	Xanthomonas perforans Jones et al. 2006	USA	Solanum lycopersicum	2004	No	Yes			https://ncppb.fera.co.uk/furtherinfo/4321	16
NCPPB 4322	Xanthomonas euvesicatoria pv. perforans (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas perforans	Xanthomonas perforans Jones et al. 2006	USA	Solanum lycopersicum	2004	No	No	Isolated from seed		https://ncppb.fera.co.uk/furtherinfo/4322	16
NCPPB 4323	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	Xanthomonas gardneri	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978, Xanthomonas gardneri (ex uti? 1957) Jones et al. 2006	Costa Rica	Solanum lycopersicum	2004	No	No			https://ncppb.fera.co.uk/furtherinfo/4323	16
NCPPB 4324	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	Xanthomonas gardneri	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978, Xanthomonas gardneri (ex uti? 1957) Jones et al. 2006	Costa Rica	Solanum lycopersicum	2004	No	No			https://ncppb.fera.co.uk/furtherinfo/4324	16
NCPPB 4326	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978	Xanthomonas campestris pv. zantedeschiae		Taiwan, Republic of China	Zantedeschia aethiopica (White flowered calla lily	2004	No	No	The almost complete 16S rDNA sequence of Xcz A5 strain was determined.(1,502 bp; GenBank accession number AY605124). Last positive pathogenicity test 2003.	Lee, Y.-A., K.-P. Chen and Y.-C Chang. 2004. First report of bacterial leaf blight of white flowered	https://ncppb.fera.co.uk/furtherinfo/4326	16
NCPPB 4340	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas campestris pv. zinniae		UK	Zinnia sp.	2005	No	No	Identity confirmed by Fatty Acid Profiling.		https://ncppb.fera.co.uk/furtherinfo/4340	16
NCPPB 4341	Xanthomonas sacchari Vauterin et al. 1995	Xanthomonas sacchari		Guadaloupe		2006	Yes	Yes		Goncalves E.R., Rosato Y.B. Int.J.Syst.Evol Microbiol. 52,355-361.March 2002.	https://ncppb.fera.co.uk/furtherinfo/4341	16
NCPPB 4342	Xanthomonas arboricola pv. populi (ex de Kam 1984) Vauterin et al. 1995	Xanthomonas arboricola pv. populi	Xanthomonas campestris pv. populi (ex de Kam 1984) Young et al. 1991	Netherlands	Populus X euramericana (Canadian poplar)	2006	No	Yes	Formerly X.campestris pv. populi. Causes bark necrosis.	Neth.J.Pl.Path. 90: 13-22. 1984	https://ncppb.fera.co.uk/furtherinfo/4342	16
NCPPB 4343	Xanthomonas bromi Vauterin et al. 1995	Xanthomonas bromi		France	Bromus fonkii Philippi (Chilean brome )	2006	Yes	Yes	Culture contains two stable colony types giving identical gelelectrophoretic protein profiles (SDS-PAGE)	Goncalves ER, Rosato YB, Phylogenetic analysis of Xanthomonas species based upon 16S-23S rDNA interg	https://ncppb.fera.co.uk/furtherinfo/4343	16
NCPPB 4344	Xanthomonas campestris pv. brunneivaginae (Luo et al. 1988)Young et al. 1996	Xanthomonas campestris pv. brunneivaginae		China	Oryza sativa	2006	No	Yes	16s rRNA partial sequencing and Fatty Acid profiling suggests Sphingomonas sp. 16s rRNA sequencing suggests Sphingomonas sp. see Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Parkinson et al. Int.J.of Syst. and Evol. Microbiology (2009(, 59, 264-274.		https://ncppb.fera.co.uk/furtherinfo/4344	16
NCPPB 4345	Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984	Xanthomonas campestris pv. cannae		India	Canna x generalis	2006	Yes	Yes	Leaf spot Blight	Curr. Sci. 53: 708-709. 1984	https://ncppb.fera.co.uk/furtherinfo/4345	16
NCPPB 4346	Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991	Xanthomonas campestris pv. leersiae		China	Leersia hexandra Swartz (southern cutgrass)	2006	Yes	Yes	Causes leaf streak. Possibly a Xanthomonas oryzae (Parkinson 2009, Triplett 2011, Lang et al. 2019).	Fang et al 1957, Young et all 1991	https://ncppb.fera.co.uk/furtherinfo/4346	16
NCPPB 4347	Xanthomonas campestris pv. malloti Goto 1993	Xanthomonas campestris pv. malloti		Japan	Mallotus japonicus (Thunb.) Muell.-Arg (East Asian	2006	No	Yes	From the Ohya, shizuoka district. Causes dark brorn leaf spot	Ann. Phytopath. Soc. Jpn. 59: 678-680. 1993	https://ncppb.fera.co.uk/furtherinfo/4347	16
NCPPB 4348	Xanthomonas euvesicatoria pv. mirabilis (ex Durgapal & Trivedi 1976) Harrison et al. 2023	Xanthomonas campestris pv. mirabilis	Xanthomonas campestris pv. mirabilis (ex Durgapal & Trivedi 1976) Dye et al. 1991	India	Mirabilis jalapa L. (Marvel-of-peru)	2006	No	Yes	Causes leaf spot and blight.	Curr. Sci. 45: 111-112. 1976	https://ncppb.fera.co.uk/furtherinfo/4348	16
NCPPB 4349	Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023	Xanthomonas campestris pv. pennamericanum	Xanthomonas campestris pv. pennamericanum Qhobela & Claflin 1988	Nigeria	Pennisetum americanum (L.) K. Schum. (pearl mille	2006	No	Yes		Int. J. Syst. Bact. 38: 362-366, 1998	https://ncppb.fera.co.uk/furtherinfo/4349	16
NCPPB 4350	Xanthomonas codiaei Vauterin et al. 1995	Xanthomonas campestris pv. poinsettiicola		USA	Euphorbia pulcherrima	2006	Yes	Yes	Affects leaf	Pl. Path 34: 446-448, 1985	https://ncppb.fera.co.uk/furtherinfo/4350	16
NCPPB 4351	Xanthomonas euvesicatoria pv. viegasii (Robbs et al. 1989) Harrison et al. 2023	Xanthomonas campestris pv. viegasii	Xanthomonas campestris pv. viegasii Robbs et al. 1989	Brazil	Pachystachys lutea Nees. (lollipop plant)	2006	No	Yes	Water soaked leaf spot surrounded by narrow yellow halo that enlarged & turned black	Summa Phytophologica 15: 174-179. 1989	https://ncppb.fera.co.uk/furtherinfo/4351	16
NCPPB 4352	Xanthomonas euvesicatoria pv. zingibericola (Ren & Fang 1981) Harrison et al. 2023	Xanthomonas campestris pv. zingibericola	Xanthomonas campestris pv. zingibericola (Ren & Fang 1981) Bradbury 1986	China	Zingiber officinale Rosc. (ginger)	2006	No	Yes	Cultures resemble X.campestris. Part affected: leaf	Acta Phytopathalogica sinica 11: 37-40. 1081	https://ncppb.fera.co.uk/furtherinfo/4352	16
NCPPB 4353	Xanthomonas theicola (Uehara et al. 1980) Vauterin et al. 1995	Xanthomonas theicola		Japan	Camellia sinensis	2006	Yes	No	Part affected = Canker		https://ncppb.fera.co.uk/furtherinfo/4353	16
NCPPB 4355	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv. allii	Xanthomonas campestris pv. allii Kadota et al. 2000, Xanthomonas axonopodis pv. allii (Kadota et al. 2000) Roumagnac et al. 2004	Reunion - France		2006	No	Yes	Bacterial blight of onion	Int. J. Syst. and Evol. Microbiology 54, 15-24. 2004	https://ncppb.fera.co.uk/furtherinfo/4355	16
NCPPB 4356	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	Xanthomonas cynarae	Xanthomonas cynarae Trébaol et al. 2000	France - Brittainy	Cynara scolymus (artichoke)	2006	No	Yes	Causes water soaked spots on bracts then dark green spots on abaxial parts of capitulum bracts. Large brown necrotic spots result. Gram -Ve, non sporing straight rods, single polar flagellum. 2 days on YBGA at 28 celsius = 2mm colonies.	Int. J. Syst. and Evol. Microbiology 50, 1471-1478. 2000.	https://ncppb.fera.co.uk/furtherinfo/4356	16
NCPPB 4363	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	Xanthomonas sp.		New Zealand	Dysoxylum spectabile	2006	No	No			https://ncppb.fera.co.uk/furtherinfo/4363	16
NCPPB 4364	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	Xanthomonas sp.		New Zealand	Dysoxylum spectabile	2006	No	No			https://ncppb.fera.co.uk/furtherinfo/4364	16
NCPPB 4367	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	Xanthomonas sp.		New Zealand	Dysoxylum spectabile	2006	No	No			https://ncppb.fera.co.uk/furtherinfo/4367	16
NCPPB 4372	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv. allii	Xanthomonas campestris pv. allii Kadota et al. 2000, Xanthomonas axonopodis pv. allii (Kadota et al. 2000) Roumagnac et al. 2004	Brazil	Allium cepa	2006	No	No		Roumagnac et al.2004	https://ncppb.fera.co.uk/furtherinfo/4372	16
NCPPB 4373	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv.aurantifolii	Xanthomonas axonopodis pv. aurantifolii Gabriel et al. 1989, Xanthomonas axonopodis pv. aurantifolii (Gabriel et al. 1989) Vauterin et al. 1995, Xanthomonas fuscans subsp. aurantifolii Schaad et al. 2007	Brazil	Citrus aurantifolia	2006	No	No		(Gabriel et al 1989) Vauterin et al 1995	https://ncppb.fera.co.uk/furtherinfo/4373	16
NCPPB 4374	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv.aurantifolii	Xanthomonas axonopodis pv. aurantifolii Gabriel et al. 1989, Xanthomonas axonopodis pv. aurantifolii (Gabriel et al. 1989) Vauterin et al. 1995, Xanthomonas fuscans subsp. aurantifolii Schaad et al. 2007	Brazil	Citrus aurantifolia	2006	No	No		(Gabriel et al 1989) Vauterin et al 1995	https://ncppb.fera.co.uk/furtherinfo/4374	16
NCPPB 4375	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas axonopodis pv. citri	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	Brazil (Parana).	Citrus sinensis - common sweet orange	2006	No	No	This is not the Type strain (Bull et al. 2010) - See NCPPB 4590	(Hasse.1915)Vauterin et al. 1995. Silva,A.C.R., ET AL. 2002. Nature, 417:459-463	https://ncppb.fera.co.uk/furtherinfo/4375	16
NCPPB 4376	Xanthomonas euvesicatoria pv. citrumelonis (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas alfalfae subsp. citrumelonis	Xanthomonas alfalfae subsp. citrumelonis Schaad et al. 2007	USA	Citrus paradisi x Poncirus trifoliata	2006	No	Yes		(Gabriel et al 1989) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/4376	16
NCPPB 4377	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv. aurantifolii	Xanthomonas axonopodis pv. aurantifolii Gabriel et al. 1989, Xanthomonas axonopodis pv. aurantifolii (Gabriel et al. 1989) Vauterin et al. 1995, Xanthomonas fuscans subsp. aurantifolii Schaad et al. 2007	Argentina	Citrus - lemon	2006	No	No		(Gabriel et al 1989) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/4377	16
NCPPB 4378	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4378	16
NCPPB 4379	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4379	16
NCPPB 4380	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4380	16
NCPPB 4381	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4381	17
NCPPB 4383	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4383	17
NCPPB 4384	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4384	17
NCPPB 4385	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4385	17
NCPPB 4386	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Uganda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4386	17
NCPPB 4387	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	D.R.Congo	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4387	17
NCPPB 4388	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	D.R.Congo	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4388	17
NCPPB 4389	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Rwanda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4389	17
NCPPB 4390	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Rwanda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4390	17
NCPPB 4391	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Rwanda	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4391	17
NCPPB 4392	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Tanzania	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4392	17
NCPPB 4393	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Tanzania	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4393	17
NCPPB 4394	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Tanzania	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4394	17
NCPPB 4395	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Xanthomonas campestris pv. musacearum	Xanthomonas campestris pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	Tanzania	Musa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4395	17
NCPPB 4397	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv. allii	Xanthomonas campestris pv. allii Kadota et al. 2000, Xanthomonas axonopodis pv. allii (Kadota et al. 2000) Roumagnac et al. 2004	Brazil	Allium cepa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4397	17
NCPPB 4398	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.	Xanthomonas axonopodis pv. allii	Xanthomonas campestris pv. allii Kadota et al. 2000, Xanthomonas axonopodis pv. allii (Kadota et al. 2000) Roumagnac et al. 2004	Brazil	Allium cepa	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4398	17
NCPPB 4399	Xanthomonas campestris pv. tardicrescens (McCulloch 1937) Dye 1978	Xanthomonas campestris pv. tardicrescens		New Zealand	Iris germanica	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4399	17
NCPPB 4402	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cassavae		Niger	Manihot esculenta	2007	No	No	Partial gene (gyrB) sequence indicates this is Xanthomonas axonopodis (NCPPB Aug 2017)		https://ncppb.fera.co.uk/furtherinfo/4402	17
NCPPB 4403	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas cotton	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	USA	Gossypium sp. (cotton)	2007	No	No			https://ncppb.fera.co.uk/furtherinfo/4403	17
