ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	SAMN02441648; SAMN37626383; SAMN13507659; SAMN02194609		assembly	SAMN02441648	GCF_000382065.1	whole_genome_assembly	Scaffold	PRJNA185300	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000382065.1 --include genome --filename NCPPB_1683_GCF_000382065.1.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1684	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	SAMN42178444		assembly	SAMN42178444	GCF_041462375.1	whole_genome_assembly	Complete Genome	PRJNA1129907	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041462375.1 --include genome --filename NCPPB_1684_GCF_041462375.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1685	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1697	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1698	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1699	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1700	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1701	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1711	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346973		assembly	SAMN36346973	GCA_035026785.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026785.1 --include genome --filename NCPPB_1711_GCA_035026785.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1712	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1713	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	SAMN56511364; SAMN03257621		assembly	SAMN03257621	GCF_000807875.2	whole_genome_assembly	Contig	PRJNA269802	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000807875.2 --include genome --filename NCPPB_1713_GCF_000807875.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1714	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1715	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1717	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1737	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1738	Xanthomonas albilineans (Ashby 1929) Dowson 1943			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1754	Xanthomonas sp. Dowson 1939	SAMN42161502		assembly	SAMN42161502	GCF_041475725.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475725.1 --include genome --filename NCPPB_1754_GCF_041475725.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1755	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1756	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.	SAMN19988972		assembly	SAMN19988972	GCF_019192985.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019192985.1 --include genome --filename NCPPB_1756_GCF_019192985.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988973		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	SAMN19988974		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMN49561544; SAMEA114332028		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988975		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1765	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1774	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1785	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1786	Xanthomonas euvesicatoria pv. coracanae (Desai et al. 1965) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023	SAMN19988976		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 1811	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03257682; SAMN18440089		assembly	SAMN18440089	GCF_017745315.1	whole_genome_assembly	Scaffold	PRJNA716613	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_017745315.1 --include genome --filename NCPPB_1811_GCF_017745315.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
