ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 4340	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4341	Xanthomonas sacchari Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4342	Xanthomonas arboricola pv. populi (ex de Kam 1984) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4343	Xanthomonas bromi Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4344	Xanthomonas campestris pv. brunneivaginae (Luo et al. 1988)Young et al. 1996			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4345	Xanthomonas campestris pv. cannae Easwaramurthy et al. 1984	SAMN22555471		assembly	SAMN22555471	GCA_020783755.1	whole_genome_assembly	Contig	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_020783755.1 --include genome --filename NCPPB_4345_GCA_020783755.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4346	Xanthomonas campestris pv. leersiae (ex Fang et al. 1957) Young et al. 1991	SAMN10956069; SAMN03862116		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 4347	Xanthomonas campestris pv. malloti Goto 1993	SAMN42488056		sra_wgs_reads	SAMN42488056	SRR29823102	whole_genome_shotgun_reads		PRJNA742925	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29823102 && fasterq-dump SRR29823102 --split-files --outdir fastq/NCPPB_4347	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4348	Xanthomonas euvesicatoria pv. mirabilis (ex Durgapal & Trivedi 1976) Harrison et al. 2023	SAMN19988985		assembly	SAMN19988985	GCF_019201145.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019201145.1 --include genome --filename NCPPB_4348_GCF_019201145.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4349	Xanthomonas euvesicatoria pv. pennamericanum (Qhobela & Claflin 1988) Harrison et al. 2023	SAMN19988986		assembly	SAMN19988986	GCF_019201165.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019201165.1 --include genome --filename NCPPB_4349_GCF_019201165.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4350	Xanthomonas codiaei Vauterin et al. 1995	SAMN56511372; SAMN44672901; SAMD00253079		assembly	SAMN44672901	GCF_046365405.1	whole_genome_assembly	Contig	PRJNA1129913	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_046365405.1 --include genome --filename NCPPB_4350_GCF_046365405.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4351	Xanthomonas euvesicatoria pv. viegasii (Robbs et al. 1989) Harrison et al. 2023	SAMN19988987		assembly	SAMN19988987	GCF_019201265.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019201265.1 --include genome --filename NCPPB_4351_GCF_019201265.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4352	Xanthomonas euvesicatoria pv. zingibericola (Ren & Fang 1981) Harrison et al. 2023	SAMN19988988		assembly	SAMN19988988	GCF_019201205.1	whole_genome_assembly	Contig	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019201205.1 --include genome --filename NCPPB_4352_GCF_019201205.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4353	Xanthomonas theicola (Uehara et al. 1980) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4355	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.	SAMN02646549		assembly	SAMN02646549	GCF_000730305.1	whole_genome_assembly	Chromosome	PRJNA231977	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000730305.1 --include genome --filename NCPPB_4355_GCF_000730305.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4356	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	SAMN09704276; SAMN24251551; SAMN05560222; SAMD00253043		assembly	SAMN05560222	GCF_002939985.1	whole_genome_assembly	Scaffold	PRJNA338618	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002939985.1 --include genome --filename NCPPB_4356_GCF_002939985.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4363	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	SAMN56511373		sra_wgs_reads	SAMN56511373	SRR37629086; SRR37789903	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629086 && fasterq-dump SRR37629086 --split-files --outdir fastq/NCPPB_4363 ; prefetch SRR37789903 && fasterq-dump SRR37789903 --split-files --outdir fastq/NCPPB_4363	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4364	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	SAMN56511374		sra_wgs_reads	SAMN56511374	SRR37629085; SRR37789902	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629085 && fasterq-dump SRR37629085 --split-files --outdir fastq/NCPPB_4364 ; prefetch SRR37789902 && fasterq-dump SRR37789902 --split-files --outdir fastq/NCPPB_4364	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4367	Xanthomonas dyei pv. dysoxyli (Hutchinson 1949) Young et al. 2010	SAMN56511375		sra_wgs_reads	SAMN56511375	SRR37629084; SRR37789901	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629084 && fasterq-dump SRR37629084 --split-files --outdir fastq/NCPPB_4367 ; prefetch SRR37789901 && fasterq-dump SRR37789901 --split-files --outdir fastq/NCPPB_4367	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4372	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4373	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4374	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4375	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.		SAMN56511363	none						identity_review_required_before_use			not_applicable	yes	yes		Only provisional BioSample identity evidence is available; do not include in a tree before review.
NCPPB 4376	Xanthomonas euvesicatoria pv. citrumelonis (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMEA114332027		assembly	SAMEA114332027	GCF_963669575.1	whole_genome_assembly	Contig	PRJEB65884	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_963669575.1 --include genome --filename NCPPB_4376_GCF_963669575.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4377	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4378	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN20034692		assembly	SAMN20034692	GCF_019209705.1	whole_genome_assembly	Contig	PRJNA743420	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019209705.1 --include genome --filename NCPPB_4378_GCF_019209705.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4379	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535423; SAMN00991242		assembly	SAMN00991242	GCF_000277895.2	whole_genome_assembly	Complete Genome	PRJNA73877	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277895.2 --include genome --filename NCPPB_4379_GCF_000277895.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4380	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991243		assembly	SAMN00991243	GCF_000277915.1	whole_genome_assembly	Scaffold	PRJNA73879	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277915.1 --include genome --filename NCPPB_4380_GCF_000277915.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4381	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535422; SAMN00002877		assembly	SAMN49535422	GCF_055598165.1	whole_genome_assembly	Complete Genome	PRJNA1280879	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_055598165.1 --include genome --filename NCPPB_4381_GCF_055598165.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4383	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991249		sra_wgs_reads	SAMN00991249	SRR494493	whole_genome_shotgun_reads		PRJNA163289	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR494493 && fasterq-dump SRR494493 --split-files --outdir fastq/NCPPB_4383	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4384	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991244		assembly	SAMN00991244	GCF_000277935.1	whole_genome_assembly	Scaffold	PRJNA73881	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277935.1 --include genome --filename NCPPB_4384_GCF_000277935.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4385	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4386	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4387	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991250		sra_wgs_reads	SAMN00991250	SRR494494	whole_genome_shotgun_reads		PRJNA163291	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR494494 && fasterq-dump SRR494494 --split-files --outdir fastq/NCPPB_4387	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4388	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4389	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991251		sra_wgs_reads	SAMN00991251	SRR494495	whole_genome_shotgun_reads		PRJNA163293	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR494495 && fasterq-dump SRR494495 --split-files --outdir fastq/NCPPB_4389	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4390	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN20034693		assembly	SAMN20034693	GCF_019209735.1	whole_genome_assembly	Contig	PRJNA743420	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_019209735.1 --include genome --filename NCPPB_4390_GCF_019209735.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4391	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN41763921		sra_wgs_reads	SAMN41763921	SRR29334731	whole_genome_shotgun_reads		PRJNA743420	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29334731 && fasterq-dump SRR29334731 --split-files --outdir fastq/NCPPB_4391	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4392	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN02471739; SAMN00991254		assembly	SAMN02471739	GCF_000277955.1	whole_genome_assembly	Scaffold	PRJNA163301	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277955.1 --include genome --filename NCPPB_4392_GCF_000277955.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4393	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN42486834; SAMN02471171; SAMN00752561		sra_wgs_reads	SAMN42486834	SRR29823053	whole_genome_shotgun_reads		PRJNA743420	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29823053 && fasterq-dump SRR29823053 --split-files --outdir fastq/NCPPB_4393	yes	no	yes	taxonomy_review_required	No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4394	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991245		assembly	SAMN00991245	GCF_000277975.1	whole_genome_assembly	Scaffold	PRJNA73883	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000277975.1 --include genome --filename NCPPB_4394_GCF_000277975.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4395	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN49535421; SAMN00991246		assembly	SAMN49535421	GCF_055597605.1	whole_genome_assembly	Complete Genome	PRJNA1280879	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_055597605.1 --include genome --filename NCPPB_4395_GCF_055597605.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4397	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4398	Xanthomonas euvesicatoria pv. allii (Kadota et al. 2000) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4399	Xanthomonas campestris pv. tardicrescens (McCulloch 1937) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4402	Xanthomonas axonopodis			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4403	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	SAMN43282785; SAMN43281686; SAMD00253057		assembly	SAMN43281686	GCF_042431565.1	whole_genome_assembly	Scaffold	PRJNA595761	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_042431565.1 --include genome --filename NCPPB_4403_GCF_042431565.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4404	Xanthomonas campestris pv. thespesiae Patil & Kulkarni 1981			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4405	Xanthomonas bromi Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4407	Xanthomonas sacchari Vauterin et al. 1995	SAMN03265443		assembly	SAMN03265443	GCF_000831625.1	whole_genome_assembly	Scaffold	PRJNA270308	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000831625.1 --include genome --filename NCPPB_4407_GCF_000831625.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4409	Xanthomonas arboricola pv. fragariae Janse et al 2001	SAMEA104393682		assembly	SAMEA104393682	GCF_900240435.1	whole_genome_assembly	Contig	PRJEB23514	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_900240435.1 --include genome --filename NCPPB_4409_GCF_900240435.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4410	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995		SAMN40354567	none						identity_review_required_before_use			not_applicable	yes	yes		Only provisional BioSample identity evidence is available; do not include in a tree before review.
NCPPB 4411	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4412	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	SAMN05003921; SAMN02903171		assembly	SAMN02903171	GCF_001401625.1	whole_genome_assembly	Contig	PRJNA254238	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001401625.1 --include genome --filename NCPPB_4412_GCF_001401625.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4413	Xanthomonas campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4414	Xanthomonas campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4415	Xanthomonas campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4418	Xanthomonas campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4433	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991252		sra_wgs_reads	SAMN00991252	SRR494496	whole_genome_shotgun_reads		PRJNA163297	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR494496 && fasterq-dump SRR494496 --split-files --outdir fastq/NCPPB_4433	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4434	Xanthomonas vasicola pv. musacearum (Yirgou & Bradbury 1968) Dye 1978	SAMN00991253		sra_wgs_reads	SAMN00991253	SRR494497	whole_genome_shotgun_reads		PRJNA163299	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR494497 && fasterq-dump SRR494497 --split-files --outdir fastq/NCPPB_4434	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4435	Xanthomonas hortorum Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4446	Xanthomonas dyei Young et al. 2010	SAMN56511376; SAMN05560230; SAMN43282364; SAMN43282128; SAMN43281663; SAMD00253031		assembly	SAMN05560230	GCF_002939865.1	whole_genome_assembly	Scaffold	PRJNA338624	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002939865.1 --include genome --filename NCPPB_4446_GCF_002939865.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4448	Xanthomonas translucens pv. pistaciae Giblot-Ducray et al 2009			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4449	Xanthomonas cerealis pv. pistaciae Tambong et al. 2024	SAMN21172023		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 4450	Xanthomonas campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4451	Xanthomonas campestris pv. raphani (White 1930) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4466	Xanthomonas sp. Dowson 1939	SAMN42161493; SAMN40354561		assembly	SAMN40354561	GCF_040203125.2	whole_genome_assembly	Complete Genome	PRJNA991976	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040203125.2 --include genome --filename NCPPB_4466_GCF_040203125.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4468	Xanthomonas sp. Dowson 1939	SAMN42161495		assembly	SAMN42161495	GCF_041475675.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475675.1 --include genome --filename NCPPB_4468_GCF_041475675.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4584	Xanthomonas graminis pv. arrhenatheri Tambong et al. 2024			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4590	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	SAMN40354539; SAMN47254572; SAMEA114332011; SAMN05003919; SAMN02903175		assembly	SAMN47254572	GCF_056846615.1	whole_genome_assembly	Complete Genome	PRJNA1232944	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056846615.1 --include genome --filename NCPPB_4590_GCF_056846615.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4594	Xanthomonas sp. Dowson 1939	SAMN56511377		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 4600	Xanthomonas nasturtii Vicente et al. 2017	SAMN27412262; SAMN04922375		assembly	SAMN27412262	GCF_023337295.3	whole_genome_assembly	Complete Genome	PRJNA982082	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_023337295.3 --include genome --filename NCPPB_4600_GCF_023337295.3.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4601	Xanthomonas floridensis Vicente et al. 2017	SAMN36318506; SAMN04922374		assembly	SAMN04922374	GCF_001642575.1	whole_genome_assembly	Contig	PRJNA320158	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_001642575.1 --include genome --filename NCPPB_4601_GCF_001642575.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4613	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357967		assembly	SAMN36357967	GCF_030551435.2	whole_genome_assembly	Contig	PRJNA992549	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_030551435.2 --include genome --filename NCPPB_4613_GCF_030551435.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4614	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	SAMN36357968	SAMN36357978	assembly	SAMN36357968	GCF_030551355.2	whole_genome_assembly	Contig	PRJNA992549	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_030551355.2 --include genome --filename NCPPB_4614_GCF_030551355.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4615	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939		SAMN25050887	none						identity_review_required_before_use			not_applicable	yes	no		Only provisional BioSample identity evidence is available; do not include in a tree before review.
NCPPB 4618	Xanthomonas phaseoli (ex Smith) Gabriel et al. 1989 VP	SAMN26806290		assembly	SAMN26806290	GCA_022749655.1	whole_genome_assembly	Complete Genome	PRJNA817702	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_022749655.1 --include genome --filename NCPPB_4618_GCA_022749655.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 4622	Xanthomonas nasturtii			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4623	Xanthomonas arboricola pv. pruni (Smith) Vauterin et al.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4625	Xanthomonas campestris pv. armoraciae			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 4629	Xanthomonas dyei Young et al. 2010	SAMN56511378		sra_wgs_reads	SAMN56511378	SRR37629080; SRR37789897	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629080 && fasterq-dump SRR37629080 --split-files --outdir fastq/NCPPB_4629 ; prefetch SRR37789897 && fasterq-dump SRR37789897 --split-files --outdir fastq/NCPPB_4629	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4630	Xanthomonas dyei Young et al. 2010	SAMN56511379		sra_wgs_reads	SAMN56511379	SRR37629079; SRR37789896	whole_genome_shotgun_reads		PRJNA1437458	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR37629079 && fasterq-dump SRR37629079 --split-files --outdir fastq/NCPPB_4630 ; prefetch SRR37789896 && fasterq-dump SRR37789896 --split-files --outdir fastq/NCPPB_4630	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 4631	Xanthomonas campestris	SAMN40354518		assembly	SAMN40354518	GCF_040194495.1	whole_genome_assembly	Scaffold	PRJNA991952	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040194495.1 --include genome --filename NCPPB_4631_GCF_040194495.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
