query_id	ncppb_number	query_track	query_tier	searched_identifier	reported_count	retrieved_uid_count	truncated	quoted_phrase_not_found_count	status	error
34af773932dbbc627613	NCPPB 3140	ncppb_number	exact_full_identifier	NCPPB 3140	0	0	no	3	ok	
34c6483c30d8f9dc38ef	NCPPB 1841	ncppb_number	exact_full_identifier	NCPPB 1841	0	0	no	3	ok	
350cc25e3ebe4f7bbb4b	NCPPB 2346	ncppb_number	exact_full_identifier	NCPPB 2346	1	1	no	0	ok	
352be05fa16b2706528a	NCPPB 893	other_references	expected_genus	B343	0	0	no	0	ok	
3541d59d5b48bbf7fc92	NCPPB 638	other_references	expected_genus	76537	0	0	no	0	ok	
355eb1493cfbf717648b	NCPPB 1759	other_references	expected_genus	HACC-184	0	0	no	0	ok	
358e4810b411370fbe86	NCPPB 3883	ncppb_number	exact_full_identifier	NCPPB 3883	2	2	no	0	ok	
35b66c44b790a8ce334a	NCPPB 1420	ncppb_number	exact_full_identifier	NCPPB 1420	0	0	no	3	ok	
35e7c3020a67a8597abe	NCPPB 2701	ncppb_number	exact_full_identifier	NCPPB 2701	0	0	no	3	ok	
362f68b0d1c414d5b713	NCPPB 1067	ncppb_number	exact_full_identifier	NCPPB 1067	1	1	no	0	ok	
364464f6e1284d65a48b	NCPPB 3592	ncppb_number	exact_full_identifier	NCPPB 3592	0	0	no	3	ok	
369ff7937fe1eba3b9d7	NCPPB 1633	ncppb_number	exact_full_identifier	NCPPB 1633	0	0	no	3	ok	
36b41bc2d38929fd5b19	NCPPB 899	ncppb_number	exact_full_identifier	NCPPB 899	0	0	no	3	ok	
3715d0f0142b8d3c8daa	ALL_OTHER_PREFIX:IMI	other_references	expected_genus:Xanthomonas	IMI	2	2	no	0	ok	
37645fba05a151d3105c	NCPPB 2820	other_references	expected_genus	5262	1	1	no	0	ok	
37cbfc14572caf08668d	NCPPB 2921	other_references	expected_genus	PP1312/60	0	0	no	0	ok	
38275626e4e16aa7f00b	NCPPB 1438	other_references	expected_genus	I 608	0	0	no	0	ok	
38768cfa4341ea939ea8	NCPPB 1149	ncppb_number	exact_full_identifier	NCPPB 1149	0	0	no	3	ok	
38d0021e3ece26b20d68	NCPPB 3713	ncppb_number	exact_full_identifier	NCPPB 3713	0	0	no	3	ok	
38d1c366d695c487c90f	NCPPB 4344	other_references	expected_genus	03-29991	0	0	no	0	ok	
38e22d562bae25fba67a	NCPPB 4322	ncppb_number	exact_full_identifier	NCPPB 4322	0	0	no	3	ok	
399500e362ce9e325801	NCPPB 901	other_references	expected_genus	B406	0	0	no	0	ok	
39bd214525bf40d1676c	NCPPB 4378	ncppb_number	exact_full_identifier	NCPPB 4378	1	1	no	0	ok	
39cfabe5570ef0da63ac	NCPPB 2928	other_references	expected_genus	N318	2	2	no	0	ok	
39dde9d63ba735d880aa	NCPPB 3652	other_references	expected_genus	ISBF 367	0	0	no	0	ok	
39e4e21fe3c6a50b5dce	NCPPB 3888	ncppb_number	exact_full_identifier	NCPPB 3888	1	1	no	0	ok	
39e9c1c06a1b6a89ca6e	NCPPB 1833	ncppb_number	exact_full_identifier	NCPPB 1833	1	1	no	0	ok	
3a0cf8e46d011734e8fc	NCPPB 4601	ncppb_number	exact_full_identifier	NCPPB 4601	0	0	no	3	ok	
3a3042f0e921786249ee	NCPPB 3232	ncppb_number	exact_full_identifier	NCPPB 3232	0	0	no	3	ok	
3a4946bc09fb5d43b819	NCPPB 3086	ncppb_number	exact_full_identifier	NCPPB 3086	1	1	no	1	ok	
3a5e79bd961019138383	NCPPB 2968	ncppb_number	exact_full_identifier	NCPPB 2968	0	0	no	3	ok	
3a8b46899bc61b28b295	NCPPB 3719	ncppb_number	exact_full_identifier	NCPPB 3719	0	0	no	3	ok	
3adf53cf2dad5f36d9b4	NCPPB 4353	ncppb_number	exact_full_identifier	NCPPB 4353	0	0	no	3	ok	
3ae7c42158e079ec9550	NCPPB 3831	ncppb_number	exact_full_identifier	NCPPB 3831	0	0	no	3	ok	
3aec4aa21957a626a1b1	NCPPB 634	ncppb_number	exact_full_identifier	NCPPB 634	0	0	no	3	ok	
3b01571ab30489797f69	NCPPB 3712	ncppb_number	exact_full_identifier	NCPPB 3712	0	0	no	3	ok	
3b491dc8a9846aa95c01	NCPPB 2595	ncppb_number	exact_full_identifier	NCPPB 2595	0	0	no	3	ok	
3b70927e0f19584fa292	ALL_OTHER_PREFIX:ISPAVE-B	other_references	expected_genus:Xanthomonas	ISPAVE-B	0	0	no	0	ok	
3bc06c33a1b8acfe98cd	NCPPB 3361	ncppb_number	exact_full_identifier	NCPPB 3361	0	0	no	3	ok	
3be52ad7978986677f6c	NCPPB 2044	other_references	expected_genus	15984	0	0	no	0	ok	
3bec1258577bfdbde9ea	NCPPB 1616	other_references	expected_genus	B2249F	0	0	no	0	ok	
3bfb311b4a97bebee373	ALL_OTHER_PREFIX:LMG	other_references	expected_genus:Xanthomonas	LMG	124	124	no	0	ok	
3c3abfb8ae996b304278	NCPPB 2576	ncppb_number	exact_full_identifier	NCPPB 2576	0	0	no	3	ok	
3ca8b5a87840299cad29	NCPPB 1136	ncppb_number	exact_full_identifier	NCPPB 1136	0	0	no	3	ok	
3caa1a1f612559d45931	NCPPB 4231	other_references	expected_genus	2011627	0	0	no	0	ok	
3cc8567d2a6cd3338174	NCPPB 1158	ncppb_number	exact_full_identifier	NCPPB 1158	1	1	no	2	ok	
3cd70136cd2ffb41fa54	NCPPB 3215	ncppb_number	exact_full_identifier	NCPPB 3215	0	0	no	3	ok	
3cf90eee7d05f5fa77e8	NCPPB 1402	other_references	expected_genus	B1374	0	0	no	0	ok	
3d08a7c7d71a7191b92d	NCPPB 4343	other_references	expected_genus	1601-1	0	0	no	0	ok	
3d22eefe426698a5ab0a	NCPPB 151	ncppb_number	exact_full_identifier	NCPPB 151	1	1	no	1	ok	
3dd331c0b80c1a55b814	NCPPB 3660	other_references	expected_genus	ISBF 253	0	0	no	0	ok	
3e2506263f6dc025d17d	NCPPB 4355	ncppb_number	exact_full_identifier	NCPPB 4355	0	0	no	3	ok	
3e460d4244a0f30c585e	NCPPB 4682	ncppb_number	exact_full_identifier	NCPPB 4682	2	2	no	1	ok	
3e801c3285b6a45a919e	NCPPB 3024	ncppb_number	exact_full_identifier	NCPPB 3024	0	0	no	3	ok	
3e8efea1eef18eca5457	NCPPB 4705	ncppb_number	exact_full_identifier	NCPPB 4705	0	0	no	3	ok	
3e9f72972b7b30f4f340	NCPPB 1495	other_references	expected_genus	C398	0	0	no	0	ok	
3ecefbbea4ac8ea01956	NCPPB 2998	ncppb_number	exact_full_identifier	NCPPB 2998	1	1	no	1	ok	
3f0aae0c6cae448aa2c6	NCPPB 4704	ncppb_number	exact_full_identifier	NCPPB 4704	0	0	no	3	ok	
3f16812ff653fcce3d2e	NCPPB 181	ncppb_number	exact_full_identifier	NCPPB 181	0	0	no	3	ok	
3f2d1cc2e774c685bab2	NCPPB 3212	ncppb_number	exact_full_identifier	NCPPB 3212	0	0	no	3	ok	
3f40d846a4218444e83f	NCPPB 3655	other_references	expected_genus	ISBF 381	0	0	no	0	ok	
3f5c397c4f2ecd232468	NCPPB 3041	ncppb_number	exact_full_identifier	NCPPB 3041	0	0	no	3	ok	
3f7ca35ccc7c9992f3d6	NCPPB 4692	ncppb_number	exact_full_identifier	NCPPB 4692	1	1	no	0	ok	
