ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 586	present_in_both	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Ipomoea muricata	India	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN19988992	GCF_019201115.1	SRR15305427				SAMN19988992
NCPPB 599	present_in_both	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Hyacinthus orientalis	Netherlands	5	4	1	8	5	18	4	1	5	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN12660098; SAMN05560286; SAMN02894432; SAMN43282147; SAMD00253046	GCF_001010435.1; GCF_002939895.1; GCF_009769165.1; GCF_042648025.1	SRR10043048	GCF_009769165.1; GCF_002939895.1; GCF_001010435.1; GCF_042648025.1	SRR10043048	PRJNA562936; PRJNA338630; PRJNA232378; PRJNA595761	
NCPPB 614	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Schaad et al. 2007	Xanthomonas	current_xanthomonas			0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 631	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesamum indicum	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 633	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp	Sudan	5	4	6	6	10	21	4	6	10	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN40354537; SAMN40354530; SAMN08729580; SAMN07418358; SAMN22082069	GCF_003064125.1; GCF_027186285.1; GCF_040202075.1; GCF_040202935.2	SRR17318718; SRR28281416; SRR28281454; SRR30293580; SRR5901872; SRR7642345	GCF_040202935.2; GCF_040202075.1; GCF_003064125.1; GCF_027186285.1	SRR28281416; SRR30293580; SRR28281454; SRR7642345; SRR5901872; SRR17318718	PRJNA991976; PRJNA438827; PRJNA395938; PRJNA769051	
NCPPB 634	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium sp.	Sudan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 637	present_in_both	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cyamopsis tetragonolobus	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42180202	GCF_041463595.1	SRR29655428; SRR30037601	GCF_041463595.1	SRR29655428; SRR30037601	PRJNA1130018	
NCPPB 638	present_in_both	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Vigna sinensis	Zimbabwe	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 642	present_in_both	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Hedera helix.	Denmark	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 645	present_in_both	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cassia acutifolia	Sudan	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178452	GCF_041519365.1	SRR29654629; SRR30037587	GCF_041519365.1	SRR29654629; SRR30037587	PRJNA1129911	
