ncppb_number	snapshot_status	v1_current_name	v2_current_name	v1_other_references	v2_other_references	name_changed	other_references_changed
NCPPB 972	present_in_both	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995	This isolate was isolated by ex P.A. Ark 2	This isolate was isolated by ex P.A. Ark 2	no	no
NCPPB 973	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	This isolate is also in the collections; ATCC 19319, ICMP 5752, LMG 876, DSM 18974, CFBP 1155 This isolate was isolated by ex C.S. Reddy	This isolate is also in the collections; ATCC 19319, ICMP 5752, LMG 876, DSM 18974, CFBP 1155 This isolate was isolated by ex C.S. Reddy	no	no
NCPPB 974	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	This isolate was isolated by ex Z. Patrick The source of this isolate was ex W.H. Burkholder	This isolate was isolated by ex Z. Patrick The source of this isolate was ex W.H. Burkholder	no	no
NCPPB 975	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate was isolated by ex W.H. Burkholder	This isolate was isolated by ex W.H. Burkholder	no	no
NCPPB 976	present_in_both	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	This isolate is also in the collections; ATCC 19320, ICMP 336, LMG 937, CFBP 2538 This isolate was isolated by ex N.A. Brown The source of this isolate was ex W.H. Burkholder	This isolate is also in the collections; ATCC 19320, ICMP 336, LMG 937, CFBP 2538 This isolate was isolated by ex N.A. Brown The source of this isolate was ex W.H. Burkholder	no	no
NCPPB 983	present_in_both	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	Xanthomonas campestris pv. barbareae (Burkholder 1941) Dye 1978	This isolate is also in the collections; ATCC 13460, ICMP 437 This isolate was isolated by ex W.H. Burkholder	This isolate is also in the collections; ATCC 13460, ICMP 437 This isolate was isolated by ex W.H. Burkholder	no	no
NCPPB 984	present_in_both	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	This isolate was isolated by ex S. Dombroff Oregan 5401	This isolate was isolated by ex S. Dombroff Oregan 5401	no	no
NCPPB 985	present_in_both	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ATCC 23379, LMG 7399, CFBP 7666 This isolate was isolated by P.A. Ark	This isolate is also in the collections; ATCC 23379, LMG 7399, CFBP 7666 This isolate was isolated by P.A. Ark	no	no
NCPPB 986	present_in_both	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. dieffenbachiae (McCulloch & Pirone 1939) Constantin et al. 2016 comb. nov.	This isolate was isolated by ex P.A. Ark Cardona 2	This isolate was isolated by ex P.A. Ark Cardona 2	no	no
NCPPB 987	present_in_both	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	This isolate is also in the collections; ATCC 9653, LMG 7411, ICMP 454 This isolate was isolated by ex W.H. Burkholder XH6	This isolate is also in the collections; ATCC 9653, LMG 7411, ICMP 454 This isolate was isolated by ex W.H. Burkholder XH6	no	no
NCPPB 989	present_in_both	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	This isolate is also in the collections; ATCC 13461, VKM B-618, ICMP 451, LMG 7416, This isolate was isolated by ex W.H. Burkholder	This isolate is also in the collections; ATCC 13461, VKM B-618, ICMP 451, LMG 7416, This isolate was isolated by ex W.H. Burkholder	no	no
NCPPB 990	present_in_both	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	This isolate was isolated by ex W.H. Burkholder St3	This isolate was isolated by ex W.H. Burkholder St3	no	no
NCPPB 993	present_in_both	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	This isolate is also in the collections; ATCC 13463, ICMP 439, LMG 757 This isolate was isolated by ex C. Lefebvre	This isolate is also in the collections; ATCC 13463, ICMP 439, LMG 757 This isolate was isolated by ex C. Lefebvre	no	no
NCPPB 994	present_in_both	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	This isolate is also in the collections; ATCC 11644, ICMP 619, LMG 9050 The source of this isolate was ex M.K. Patel 14	no	no
NCPPB 1009	present_in_both	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson	This isolate is also in the collections; ICMP 1623 The source of this isolate was ex W.J. Dowson	no	no
NCPPB 1014	present_in_both	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	This isolate is also in the collections; ATCC 11636, ICMP 3965, LMG 954 The source of this isolate was ex M.K. Patel 19	no	no
NCPPB 1025	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	The donor reference is B565 This isolate was isolated by ex C. Polhill	The donor reference is B565 This isolate was isolated by ex C. Polhill	no	no
NCPPB 1043	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by A.C. Hayward B621	This isolate was isolated by A.C. Hayward B621	no	no
NCPPB 1046	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	The donor reference is B589 This isolate was isolated by ex G. Rangaswami	The donor reference is B589 This isolate was isolated by ex G. Rangaswami	no	no
NCPPB 1048	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	This isolate was isolated by A.C. Hayward B639	This isolate was isolated by A.C. Hayward B639	no	no
NCPPB 1050	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	The donor reference is B672 This isolate was isolated by ex S. Bisessar	The donor reference is B672 This isolate was isolated by ex S. Bisessar	no	no
NCPPB 1056	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B	This isolate is also in the collections; LMG 7457 This isolate was isolated by A.C. Hayward B665B	no	no
NCPPB 1058	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate was isolated by A.C. Hayward B659	This isolate was isolated by A.C. Hayward B659	no	no
NCPPB 1059	present_in_both	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	This isolate is also in the collections; ICPB XP198 This isolate was isolated by A.C. Hayward B658	no	no
NCPPB 1060	present_in_both	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	This isolate was isolated by A.C. Hayward B657	This isolate was isolated by A.C. Hayward B657	no	no
NCPPB 1061	present_in_both	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652	no	no
NCPPB 1062	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate was isolated by A.C. Hayward B644	This isolate was isolated by A.C. Hayward B644	no	no
NCPPB 1063	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651	no	no
NCPPB 1067	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate was isolated by A.C. Hayward B707A	This isolate was isolated by A.C. Hayward B707A	no	no
NCPPB 1068	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A	no	no
NCPPB 1117	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	The donor reference is B828 This isolate was isolated by ex G. Rangaswami	The donor reference is B828 This isolate was isolated by ex G. Rangaswami	no	no
NCPPB 1124	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	This isolate was isolated by A.C. Hayward B724A	This isolate was isolated by A.C. Hayward B724A	no	no
NCPPB 1128	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate was isolated by A.C. Hayward B791	This isolate was isolated by A.C. Hayward B791	no	no
NCPPB 1129	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by A.C. Hayward B784	This isolate was isolated by A.C. Hayward B784	no	no
NCPPB 1131	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate was isolated by A.C. Hayward B720	This isolate was isolated by A.C. Hayward B720	no	no
NCPPB 1132	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	This isolate was isolated by A.C. Hayward B719	This isolate was isolated by A.C. Hayward B719	no	no
NCPPB 1135	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	This isolate was isolated by A.C. Hayward B740B	This isolate was isolated by A.C. Hayward B740B	no	no
NCPPB 1136	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	This isolate was isolated by A.C. Hayward B809A	This isolate was isolated by A.C. Hayward B809A	no	no
NCPPB 1138	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	This isolate was isolated by A.C. Hayward B727	This isolate was isolated by A.C. Hayward B727	no	no
NCPPB 1141	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745	no	no
NCPPB 1143	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by L.A.E. Baker X3	This isolate was isolated by L.A.E. Baker X3	no	no
NCPPB 1144	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by L.A.E. Baker X9	This isolate was isolated by L.A.E. Baker X9	no	no
NCPPB 1145	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by L.A.E. Baker X10	This isolate was isolated by L.A.E. Baker X10	no	no
NCPPB 1146	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by L.A.E. Baker XII	This isolate was isolated by L.A.E. Baker XII	no	no
NCPPB 1147	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by L.A.E. Baker X13	This isolate was isolated by L.A.E. Baker X13	no	no
NCPPB 1148	present_in_both	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide	no	no
NCPPB 1149	present_in_both	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide	no	no
NCPPB 1150	present_in_both	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	The donor reference is Ykl The source of this isolate was ex Orillo	The donor reference is Ykl The source of this isolate was ex Orillo	no	no
NCPPB 1151	present_in_both	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	The donor reference is YK2 The source of this isolate was ex Orillo	The donor reference is YK2 The source of this isolate was ex Orillo	no	no
NCPPB 1152	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	The donor reference is YK3 The source of this isolate was ex N. Okabe	The donor reference is YK3 The source of this isolate was ex N. Okabe	no	no
NCPPB 1153	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	The donor reference is YK4 The source of this isolate was ex H. Muko	The donor reference is YK4 The source of this isolate was ex H. Muko	no	no
NCPPB 1154	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			no	no
NCPPB 1155	present_in_both	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3	no	no
NCPPB 1158	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham	no	no
NCPPB 1159	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl	no	no
NCPPB 1160	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	This isolate was isolated by ex O.A. Drummon & O. Hipolite	This isolate was isolated by ex O.A. Drummon & O. Hipolite	no	no
NCPPB 1161	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	This isolate was isolated by ex G. Orian M3	This isolate was isolated by ex G. Orian M3	no	no
NCPPB 1235	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	This isolate was isolated by A.C. Hayward B922	This isolate was isolated by A.C. Hayward B922	no	no
NCPPB 1241	present_in_both	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996	no	no
NCPPB 1244	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	This isolate was isolated by A.C. Hayward B1021	This isolate was isolated by A.C. Hayward B1021	no	no
NCPPB 1324	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	This isolate was isolated by A.C. Hayward B1167	This isolate was isolated by A.C. Hayward B1167	no	no
NCPPB 1325	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey	no	no
NCPPB 1326	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116	no	no
NCPPB 1332	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate was isolated by A.C. Hayward B1198	This isolate was isolated by A.C. Hayward B1198	no	no
NCPPB 1334	present_in_both	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya	no	no
NCPPB 1336	present_in_both	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya	no	no
NCPPB 1337	present_in_both	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya	no	no
NCPPB 1381	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350	no	no
NCPPB 1393	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	The donor reference is B1432 The source of this isolate was ex ITCC SF62	The donor reference is B1432 The source of this isolate was ex ITCC SF62	no	no
NCPPB 1394	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan	no	no
NCPPB 1395	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan	no	no
NCPPB 1396	present_in_both	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan	no	no
NCPPB 1402	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374	no	no
NCPPB 1420	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	This isolate was isolated by Z. Klement E1388	This isolate was isolated by Z. Klement E1388	no	no
NCPPB 1421	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate was isolated by Z. Klement S. 20	This isolate was isolated by Z. Klement S. 20	no	no
NCPPB 1422	present_in_both	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066	no	no
NCPPB 1423	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 114, LMG 923 This isolate was isolated by Z. Klement S. 07	This isolate is also in the collections; ICMP 114, LMG 923 This isolate was isolated by Z. Klement S. 07	no	no
NCPPB 1426	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 173, LMG 924 This isolate was isolated by Z. Klement S. 10	This isolate is also in the collections; ICMP 173, LMG 924 This isolate was isolated by Z. Klement S. 10	no	no
NCPPB 1431	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 112, LMG 925 This isolate was isolated by Z. Klement S. 04	This isolate is also in the collections; ICMP 112, LMG 925 This isolate was isolated by Z. Klement S. 04	no	no
NCPPB 1433	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; LMG 8016 This isolate was isolated by Z. Klement E1309	This isolate is also in the collections; LMG 8016 This isolate was isolated by Z. Klement E1309	no	no
NCPPB 1438	present_in_both	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	This isolate is also in the collections; ICMP 172, LMG 926, CFBP 7955 This isolate was isolated by Z. Klement I. 608	This isolate is also in the collections; ICMP 172, LMG 926, CFBP 7955 This isolate was isolated by Z. Klement I. 608	no	no
NCPPB 1439	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	This isolate was isolated by Z. Klement E1299	This isolate was isolated by Z. Klement E1299	no	no
NCPPB 1447	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	The donor reference is 19 This isolate was isolated by ex I. Lazar	The donor reference is 19 This isolate was isolated by ex I. Lazar	no	no
NCPPB 1451	present_in_both	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	This isolate is also in the collections; ICMP 5761, LMG 940 This isolate was isolated by ex A.C. Padhya	This isolate is also in the collections; ICMP 5761, LMG 940 This isolate was isolated by ex A.C. Padhya	no	no
NCPPB 1452	present_in_both	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577 This isolate was isolated by ex A.C. Padhya	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577 This isolate was isolated by ex A.C. Padhya	no	no
