ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 4601	1	donor_reference	The donor reference is WHRI 8848	WHRI 8848	0	32	2578198	2578259	parsed	medium		
NCPPB 4601	2	isolated_by	This isolate was isolated by Joana M. G. N. Vicente	Joana M. G. N. Vicente	33	84	2578263	2578315	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4613	1	donor_reference	The donor reference is NE744	NE744	0	28	2580970	2581027	parsed	medium		
NCPPB 4613	2	isolated_by	This isolate was isolated by Jillian M. Lang	Jillian M. Lang	29	73	2581031	2581076	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4614	1	donor_reference	The donor reference is SAM119	SAM119	0	29	2583741	2583799	parsed	medium		
NCPPB 4614	2	isolated_by	This isolate was isolated by Jillian M. Lang	Jillian M. Lang	30	74	2583803	2583848	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4615	1	donor_reference	The donor reference is B100	B100	0	27	2586507	2586563	parsed	medium		
NCPPB 4615	2	collection_list	This isolate is also in the collections; CFBP 7306, ATCC 29497, DSMZ 1526	CFBP 7306, ATCC 29497, DSMZ 1526	28	101	2586567	2586641	parsed	low		
NCPPB 4615	3	isolated_by	This isolate was isolated by Unknown	Unknown	102	138	2586645	2586682	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4618	1	donor_reference	The donor reference is LMG 29033	LMG 29033	0	32	2589308	2589369	parsed	medium		
NCPPB 4618	2	collection_list	This isolate is also in the collections; LMG 29033, ATCC 49119	LMG 29033, ATCC 49119	33	95	2589373	2589436	parsed	low		
NCPPB 4618	3	isolated_by	This isolate was isolated by A. Vidaver	A. Vidaver	96	135	2589440	2589480	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4622	1	donor_reference	The donor reference is Protect 13 E6	Protect 13 E6	0	36	2592109	2592174	parsed	medium		
NCPPB 4622	2	isolated_by	This isolate was isolated by A. Aspin (21723449)	A. Aspin (21723449)	37	85	2592178	2592227	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4623	1	donor_reference	The donor reference is Protect OB Box 3 A6	Protect OB Box 3 A6	0	42	2594610	2594681	parsed	medium		
NCPPB 4623	2	isolated_by	This isolate was isolated by A. Aspin (21616370)	A. Aspin (21616370)	43	91	2594685	2594734	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4625	1	donor_reference	The donor reference is WHRI 8481, CSL 20313511	WHRI 8481, CSL 20313511	0	46	2597098	2597173	parsed	medium		
NCPPB 4625	2	isolated_by	This isolate was isolated by H. Standford	H. Standford	47	88	2597177	2597219	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4629	1	donor_reference	The donor reference is ICMP 1921	ICMP 1921	0	32	2600082	2600143	parsed	medium		
NCPPB 4629	2	collection_list	This isolate is also in the collections; ICMP 1921,CFBP 7268, NZRCC 10647, PDDCC 1921	ICMP 1921,CFBP 7268, NZRCC 10647, PDDCC 1921	33	118	2600147	2600234	parsed	low		
NCPPB 4629	3	isolated_by	This isolate was isolated by Douglas W. Dye	Douglas W. Dye	119	162	2600238	2600282	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4629	4	source_of_isolate	The source of this isolate was ICMP	ICMP	163	198	2600286	2600322	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4630	1	donor_reference	The donor reference is ICMP 2374	ICMP 2374	0	32	2603314	2603375	parsed	medium		
NCPPB 4630	2	collection_list	This isolate is also in the collections; CFBP 7269, ICMP 2374, PDDCC 2374	CFBP 7269, ICMP 2374, PDDCC 2374	33	106	2603379	2603454	parsed	low		
NCPPB 4630	3	isolated_by	This isolate was isolated by Douglas W. Dye ZZ22	Douglas W. Dye ZZ22	107	155	2603458	2603507	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4630	4	source_of_isolate	The source of this isolate was ICMP	ICMP	156	191	2603511	2603547	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4631	1	donor_reference	The donor reference is WHRI 8482, CSL 20313251	WHRI 8482, CSL 20313251	0	46	2606266	2606341	parsed	medium		
NCPPB 4631	2	collection_list	This isolate is also in the collections; WHRI 8482	WHRI 8482	47	97	2606345	2606396	parsed	low		
NCPPB 4631	3	isolated_by	This isolate was isolated by H. Stanford	H. Stanford	98	138	2606400	2606441	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4632	1	donor_reference	The donor reference is ICMP 6041	ICMP 6041	0	32	2609101	2609162	parsed	medium		
NCPPB 4632	2	collection_list	This isolate is also in the collections; ICMP 6041, CFBP 7261	ICMP 6041, CFBP 7261	33	94	2609166	2609228	parsed	low		
NCPPB 4632	3	isolated_by	This isolate was isolated by D.R.W. Watson	D.R.W. Watson	95	137	2609232	2609275	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4632	4	source_of_isolate	The source of this isolate was ICMP	ICMP	138	173	2609279	2609315	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4633	1	donor_reference	The donor reference is ICMP 6759	ICMP 6759	0	32	2612306	2612367	parsed	medium		
NCPPB 4633	2	collection_list	This isolate is also in the collections; ICMP 6759, CFPB 7263 NZRCC 10646 PDDCC 6759	ICMP 6759, CFPB 7263 NZRCC 10646 PDDCC 6759	33	117	2612371	2612457	parsed	low		
NCPPB 4633	3	isolated_by	This isolate was isolated by J.M. Young	J.M. Young	118	157	2612461	2612501	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4633	4	source_of_isolate	The source of this isolate was ICMP	ICMP	158	193	2612505	2612541	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4634	1	donor_reference	The donor reference is ICMP 13401	ICMP 13401	0	33	2615801	2615863	parsed	medium		
NCPPB 4634	2	collection_list	This isolate is also in the collections; ICMP 13401, CFBP 7271	ICMP 13401, CFBP 7271	34	96	2615867	2615930	parsed	low		
NCPPB 4634	3	isolated_by	This isolate was isolated by Robert K. Taylor	Robert K. Taylor	97	142	2615934	2615980	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4634	4	source_of_isolate	The source of this isolate was ICMP	ICMP	143	178	2615984	2616020	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4635	1	donor_reference	The donor reference is ICMP 4292	ICMP 4292	0	32	2618731	2618792	parsed	medium		
NCPPB 4635	2	collection_list	This isolate is also in the collections; ICMP 4292	ICMP 4292	33	83	2618796	2618847	parsed	low		
NCPPB 4635	3	isolated_by	This isolate was isolated by M. Goto (XT3)	M. Goto (XT3)	84	126	2618851	2618894	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4660	1	donor_reference	The donor reference is WHRI 8891A	WHRI 8891A	0	33	2621558	2621620	parsed	medium		
NCPPB 4660	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	34	74	2621624	2621665	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4661	1	donor_reference	The donor reference is WHRI 3811	WHRI 3811	0	32	2624321	2624382	parsed	medium		
NCPPB 4662	1	donor_reference	The donor reference is WHRI 8909A	WHRI 8909A	0	33	2627784	2627846	parsed	medium		
NCPPB 4662	2	isolated_by	This isolate was isolated by J G Vicente	J G Vicente	34	74	2627850	2627891	parsed	medium	person_or_source_text_not_automatically_an_identifier	
