review_priority	ncppb_number	ncppb_current_name	current_accepted_biosamples	review_candidate_biosamples	candidate_organisms	matched_identifiers	matched_identifier_types	matched_fields	evidence_classes	taxonomy_statuses	review_reasons	discovery_tracks	biosample_urls	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 3079	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023	SAMN19988983	SAMN19988983	Xanthomonas campestris pv. paulliniae	NCPPB 3079	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988983	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3114	Xanthomonas citri pv. merremiae (Pant & Kulkarni 1976) Harrison et al. 2023	SAMN19988993	SAMN19988993	Xanthomonas campestris pv. merremiae	NCPPB 3114	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988993	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3162	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN22555461	SAMN22555461	Xanthomonas citri	NCPPB 3162	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN22555461	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3213	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMN49561543; SAMEA3121378; SAMEA114332029	SAMN49561543; SAMEA3121378; SAMEA114332029	Xanthomonas citri pv. bilvae; Xanthomonas citri	NCPPB 3213	ncppb_number	strain; isolate	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561543; https://www.ncbi.nlm.nih.gov/biosample/SAMEA3121378; https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332029	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3234	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.		SAMEA114332007	Xanthomonas citri pv. citri	XC62	donor_reference	isolate	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332007	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3237	Xanthomonas citri pv. aurantifolii (Schaad et al. 2007) Constantin et al. 2016 comb. nov.		SAMEA114332008; SAMN23026106	Xanthomonas citri pv. aurantifolii; Xanthomonas hortorum pv. gardneri	XC69	donor_reference	isolate; strain	structured_exact_identifier	same_name; same_genus_different_species	medium_identifier_requires_corroboration; medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332008; https://www.ncbi.nlm.nih.gov/biosample/SAMN23026106	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3304	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990		SAMN06237132	Xanthomonas oryzae pv. oryzae	PXO86	donor_reference	strain	structured_exact_identifier	same_name	medium_identifier_requires_corroboration	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN06237132	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3440	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	SAMN40354570	SAMN40354570	Xanthomonas sp. WHRI 8393	NCPPB 3440	ncppb_number	identity_aliases	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN40354570	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3595	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.		SAMN30096794	Xanthomonas citri pv. punicae	XCP1	isolate_code	strain	structured_exact_identifier	same_genus_different_species	medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096794	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 3640	Xanthomonas campestris pv. parthenii Chand et al. 1995		SAMN30096796	Xanthomonas citri pv. punicae	XCP3	donor_reference	strain	structured_exact_identifier	same_genus_different_species	medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN30096796	Does the structured evidence support retaining this BioSample as a strain-level match?		
