ncppb_number	ncppb_current_name	snapshot_status	all_searchable_identifiers	confirmed_biosample_accessions	provisional_biosample_accessions	ncppb_track_biosample_accessions	other_references_track_biosample_accessions	historical_v1_recheck_biosample_accessions	assembly_accessions	assembly_levels	sra_run_accessions	bioproject_accessions	provisional_assembly_accessions	provisional_sra_run_accessions	provisional_bioproject_accessions	sequence_availability_category	identity_match_status	taxonomy_consistency_status	taxonomy_review_required	manual_review_required	review_reason	accepted_candidate_count	review_candidate_count	rejected_candidate_count
NCPPB 1668	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	present_in_v2_snapshot	NCPPB 1668; CS56-27													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1671	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1671; B2536													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1672	Xanthomonas sp. Dowson 1939	present_in_v2_snapshot	NCPPB 1672; B2540B													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1680	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1680; ICPB XP200	SAMN03257737		SAMN03257737			GCF_000808695.2	Contig	SRR2052882	PRJNA269952				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	present_in_v2_snapshot	NCPPB 1683; ATCC 19867; ICMP 3945	SAMN02441648; SAMN37626383; SAMN13507659; SAMN02194609			SAMN02441648; SAMN37626383; SAMN13507659; SAMN02194609		GCF_000382065.1	Scaffold	SRR26265284; SRR892271	PRJNA185300; PRJNA1022797				draft_assembly_available	confirmed_exact_collection_identifier	same_name; same_genus_different_species	yes	yes	same_genus_different_species	4	0	0
NCPPB 1684	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1684; ICPB XR117; B2602	SAMN42178444		SAMN42178444			GCF_041462375.1	Complete Genome	SRR29654665; SRR30041330	PRJNA1129907				complete_genome_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1685	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	present_in_v2_snapshot	NCPPB 1685; B2631; WA134													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1697	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1697; B2024													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	9
NCPPB 1698	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1698; B650; ATCC 14985; LMG 7429; XL59/10													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1699	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1699; B2019													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	4
NCPPB 1700	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1700; B648; ATCC 14982													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1701	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1701; ATCC 14983; B649; XL59/9													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1711	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	present_in_v2_snapshot	NCPPB 1711; B1548; P125	SAMN36346973		SAMN36346973			GCA_035026785.1	Contig	SRR25183328	PRJNA988133				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1712	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1712; B1334													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1713	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	present_in_v2_snapshot	NCPPB 1713; B912	SAMN56511364; SAMN03257621		SAMN56511364; SAMN03257621			GCF_000807875.2	Contig	SRR37629061; SRR37789878; SRR2051464	PRJNA1437458; PRJNA269802				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name; compatible_synonym	no	no		2	0	0
NCPPB 1714	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	present_in_v2_snapshot	NCPPB 1714; B744													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1715	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	present_in_v2_snapshot	NCPPB 1715; B1853													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1717	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	present_in_v2_snapshot	NCPPB 1717; B913													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1737	Xanthomonas albilineans (Ashby 1929) Dowson 1943	present_in_v2_snapshot	NCPPB 1737; X.a.7a													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1738	Xanthomonas albilineans (Ashby 1929) Dowson 1943	present_in_v2_snapshot	NCPPB 1738													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1754	Xanthomonas sp. Dowson 1939	present_in_v2_snapshot	NCPPB 1754; HACC-179; ATCC 17992	SAMN42161502		SAMN42161502			GCF_041475725.1	Complete Genome	SRR29644174; SRR30040122	PRJNA1129555				complete_genome_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1755	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1755; HACC-180; ATCC 17993													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1756	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1756; HACC-181; ATCC 17994; ICMP 5746; LMG 846	SAMN19988972		SAMN19988972			GCF_019192985.1	Contig	SRR15305417	PRJNA742925				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1757; HACC-182; ATCC 17995; PDDCC 57 22; LMG 557; ICMP 5722	SAMN19988973		SAMN19988973			GCF_019201485.1	Contig	SRR15305423	PRJNA742925				draft_assembly_available	confirmed_exact_ncppb_identifier	same_genus_different_species	yes	yes	same_genus_different_species	1	0	0
NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	present_in_v2_snapshot	NCPPB 1758; HACC-183; ATCC 17996; ICMP 5725	SAMN19988974		SAMN19988974			GCF_019201305.1	Contig	SRR15305430	PRJNA742925				draft_assembly_available	confirmed_exact_ncppb_identifier	same_genus_different_species	yes	yes	same_genus_different_species	1	0	0
