ncppb_number	current_name	name_as_received	other_references	other_collection_numbers	identifier_candidates	current_search_identifiers	high_confidence_identifiers	manual_only_identifiers	has_confirmed_biosample	accepted_biosample_count	accepted_biosample_accessions	accepted_biosample_organisms	accepted_biosample_titles	matched_identifiers	matched_identifier_types	review_candidate_count	non_xanthomonas_review_rows	no_hit_rows	conflict_rows	conflicting_accessions	taxon_only_rows	taxon_only_accessions	rescue_candidate_count	rescue_candidate_accessions	accepted_needs_review_count	accepted_needs_review_accessions	top_reject_reasons	search_result_review_status	review_priority	review_note
NCPPB 1452	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	X. triumfettae	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577 This isolate was isolated by ex A.C. Padhya	ICMP 5852; LMG 872; ATCC 23577	ICMP 5852; LMG 872; ATCC 23577	ICMP 5852; LMG 872; ATCC 23577	ICMP 5852; LMG 872; ATCC 23577		no	0						8	5	3	0		0		0		0		non_xanthomonas_organism:5; query_returned_no_biosample_records:3	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1453	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023		This isolate was isolated by ex M.C. Srinivasan						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1454	Xanthomonas euvesicatoria pv. tribuli (Srinivasan and Patel 1956) Constantin et al. 2016 comb. nov.		This isolate is also in the collections; ICMP 5753, LMG 873 This isolate was isolated by ex M.C. Srinivasan	ICMP 5753; LMG 873	ICMP 5753; LMG 873	ICMP 5753; LMG 873	ICMP 5753; LMG 873		no	0						3	0	3	0		0		0		0		query_returned_no_biosample_records:3	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1455	Xanthomonas campestris pv. lantanae (Srinivasan & Patel 1957) Dye 1978		This isolate is also in the collections; ICMP 5737, LMG 754 This isolate was isolated by ex M.C. Srinivasan	ICMP 5737; LMG 754	ICMP 5737; LMG 754	ICMP 5737; LMG 754	ICMP 5737; LMG 754		yes	1	SAMN41763920	Xanthomonas campestris pv. lantanae	Genome sequencing of Xanthomonas campestris pv. lantanae NCPPB 1455 (contaminated)	NCPPB 1455	ncppb_number	2	0	2	0		0		0		0		query_returned_no_biosample_records:2	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1457	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023		This isolate was isolated by ex M.C. Srinivasan						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1469	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962	This isolate is also in the collections; ICMP 5715, ATTCC 33239, VKM B-2165, DSMZ 3587, LMG 708, CFBP 2157 This isolate was isolated by B.W. Kennedy	ICMP 5715; DSMZ 3587; LMG 708; CFBP 2157	ICMP 5715; ATTCC 33239; VKM B-2165; DSMZ 3587; LMG 708; CFBP 2157; B 2165	ICMP 5715; ATTCC 33239; VKM B-2165; DSMZ 3587; LMG 708; CFBP 2157; B 2165	ICMP 5715; ATTCC 33239; VKM B-2165; DSMZ 3587; LMG 708; CFBP 2157	B 2165	yes	12	SAMN39942670; SAMEA104068692; SAMN43284562; SAMN43282235; SAMN43282231; SAMN43282199; SAMD00253071	Xanthomonas fragariae	Microbe sample from Xanthomonas fragariae; Xanthomonas fragariae PD885; strain ICMP 5715 of Xanthomonas fragariae	NCPPB 1469; ICMP 5715	ncppb_number; other_reference_identifier	60	58	2	0		0		0		0		non_xanthomonas_organism:58; query_returned_no_biosample_records:2	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1471	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by A.C. Hayward B1603		B 1603	B 1603		B 1603	yes	1	SAMN30973815	Xanthomonas citri pv. citri	MIGS Cultured Bacterial/Archaeal sample from Xanthomonas citri pv. citri	NCPPB 1471	ncppb_number	100	100	0	0		0		0		0		non_xanthomonas_organism:100	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1472	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by A.C. Hayward B1601		B 1601	B 1601		B 1601	no	0						53	50	0	3	SAMN17385960; SAMN17385948; SAMN17385947	0		3	SAMN17385947; SAMN17385948; SAMN17385960	0		non_xanthomonas_organism:50; conflicting_ncppb_number:1946:1; conflicting_ncppb_number:2986:1; conflicting_ncppb_number:347:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
NCPPB 1473	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	This isolate was isolated by A.C. Hayward B1559		B 1559	B 1559		B 1559	yes	1	SAMN42178443	Xanthomonas axonopodis pv. ricini	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 1473	NCPPB 1473	ncppb_number	83	83	0	0		0		0		0		non_xanthomonas_organism:83	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1475	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas phaseoli f.sp . cassiae	This isolate was isolated by A.C. Hayward B1479		B 1479	B 1479		B 1479	yes	1	SAMN42178453	Xanthomonas axonopodis pv. cassiae	Genome sequencing of Xanthomonas campestris pv. cassiae NCPPB 1475	NCPPB 1475	ncppb_number	53	53	0	0		0		0		0		non_xanthomonas_organism:53	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1482	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by A.C. Hayward B1741		B 1741	B 1741		B 1741	no	0						76	75	1	0		0		0		0		non_xanthomonas_organism:75; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1495	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	This isolate is also in the collections; LMG 8017 This isolate was isolated by G.E. Jones C398	LMG 8017	LMG 8017; C 398	LMG 8017; C 398	LMG 8017	C 398	yes	1	SAMN03142808	Xanthomonas phaseoli pv. phaseoli	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1495	ncppb_number	101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1560	Xanthomonas sp. Dowson 1939		This isolate was isolated by R.A. Lelliott 479		LELLIOTT 479	LELLIOTT 479		LELLIOTT 479	yes	2	SAMN42161500	Xanthomonas sp. NCPPB 1560	Genome sequencing of Xanthomonas sp. NCPPB 1560	NCPPB 1560	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1568	Xanthomonas sp. Dowson 1939		The donor reference is 1 This isolate was isolated by ex K.S.S. Eswaran		IS 1			IS 1	no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1585	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	X. oryzae Ishyama 1922	This isolate is also in the collections; ICPB XOlll, ICMP 5743, LMG 797, CFBP 2286, ATCC 49072 This isolate was isolated by A.C. Hayward B2115	ICMP 5743; LMG 797; CFBP 2286; ATCC 49072	ICMP 5743; LMG 797; CFBP 2286; ATCC 49072; B 2115	ICMP 5743; LMG 797; CFBP 2286; ATCC 49072; B 2115	ICMP 5743; LMG 797; CFBP 2286; ATCC 49072	B 2115	yes	2	SAMN40354542; SAMN08729510	Xanthomonas oryzae pv. oryzicola	Microbe sample from Xanthomonas oryzae pv. oryzicola	NCPPB 1585	ncppb_number	32	29	3	0		0		0		0		non_xanthomonas_organism:29; query_returned_no_biosample_records:3	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1593	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.		This isolate is also in the collections; ICMP 1617, LMG 534 This isolate was isolated by ex M.C. Srinivasan	ICMP 1617; LMG 534	ICMP 1617; LMG 534	ICMP 1617; LMG 534	ICMP 1617; LMG 534		no	0						5	3	2	0		0		0		0		non_xanthomonas_organism:3; query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas nakataecorchorii Padhya & Patel 1963	This isolate was isolated by ex A.C. Padhya The source of this isolate was ex M.K. Patel						yes	1	SAMN56511363	Xanthomonas axonopodis pv. nakataecorchori	Genome sequencing of Xanthomonas NCPPB 1594	NCPPB 1594	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1595	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.		The source of this isolate was ex M.C. Srinivasan						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1596	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023		The source of this isolate was ex M.C. Srinivasan						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	The donor reference is B2165 This isolate was isolated by ex R.D. Pares		B 2165	B 2165		B 2165	yes	1	SAMEA104068692	Xanthomonas fragariae	Xanthomonas fragariae PD885	B 2165	other_reference_identifier	26	25	1	0		0		0		1	SAMEA104068692	non_xanthomonas_organism:25; query_returned_no_biosample_records:1	manual_review_required	P1_conflicting_accepted_match	At least one currently accepted BioSample has a conflict or audit warning.
NCPPB 1610	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	This isolate was isolated by R.A. Lelliott						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1612	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023		This isolate was isolated by A.C. Hayward B2175		B 2175	B 2175		B 2175	no	0						37	36	1	0		0		0		0		non_xanthomonas_organism:36; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1615	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	This isolate is also in the collections; ICPB XPl99 This isolate was isolated by R.A. Lelliott		ICPB XPL99; XPL 99	ICPB XPL99; XPL 99	ICPB XPL99		no	0						3	0	3	0		0		0		0		query_returned_no_biosample_records:3	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1616	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	This isolate was isolated by A.C. Hayward B2249F		B 2249F	B 2249F		B 2249F	no	0						2	0	2	0		0		0		0		query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1622	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	This isolate was isolated by D.C. Graham						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1628	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.		This isolate is also in the collections; ICPB XA132 This isolate was isolated by A.C. Padhya		ICPB XA132; XA 132	ICPB XA132; XA 132	ICPB XA132		no	0						3	0	3	0		0		0		0		query_returned_no_biosample_records:3	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1629	Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995	Xanthomonas bauhiniae Padhya et al. 1965	This isolate was isolated by ex A.C. Padhya						yes	1	SAMN42283062	Xanthomonas axonopodis pv. bauhiniae	Genome sequencing of Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995 NCPPB 1629	NCPPB 1629	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1630	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	Xanthomonas celebensis	This isolate was isolated by ex D.W. Dye ZZ24 The source of this isolate was .		ZZ 24	ZZ 24			yes	1	SAMN02854337	Xanthomonas arboricola pv. celebensis	Microbe sample from Xanthomonas arboricola pv. celebensis	NCPPB 1630	ncppb_number	44	44	0	0		0		0		0		non_xanthomonas_organism:44	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1632	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	X. oryzicola Fang et al. 1957	The source of this isolate was ex M. Goto B50		B 50	B 50		B 50	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1633	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	X. sinensis	This isolate is also in the collections; ICPB XSl, CFBP 7111 This isolate was isolated by ex W.H. Burkholder The source of this isolate was ex R.S. Dickey	CFBP 7111	CFBP 7111	CFBP 7111	CFBP 7111		yes	1	SAMN07252112	Xanthomonas citri pv. vignicola	Microbe sample from Xanthomonas citri pv. vignicola	CFBP 7111	other_reference_identifier	1	0	1	0		0		0		0		query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1638	Xanthomonas sp. Dowson 1939		This isolate was isolated by A.C. Hayward B2290		B 2290	B 2290		B 2290	yes	1	SAMN42161501	Xanthomonas sp. NCPPB 1638	Genome sequencing of Xanthomonas sp. NCPPB 1638	NCPPB 1638	ncppb_number	36	36	0	0		0		0		0		non_xanthomonas_organism:36	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1645	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	The donor reference is B2340 This isolate was isolated by ex A.H. Ramos SAL/163/B		B 2340; SAL 163/B	B 2340; SAL 163/B		B 2340	yes	1	SAMN36368322	Xanthomonas campestris pv. campestris	Genome sequencing of Xcc WHRI3877 (NCPPB 1645)	NCPPB 1645	ncppb_number	101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	The donor reference is B2324A This isolate was isolated by ex W.S. Sutton		B 2324A	B 2324A		B 2324A	yes	1	SAMN03175008	Xanthomonas phaseoli pv. phaseoli	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1646	ncppb_number	1	0	1	0		0		0		1	SAMN03175008	query_returned_no_biosample_records:1	manual_review_required	P1_conflicting_accepted_match	At least one currently accepted BioSample has a conflict or audit warning.
NCPPB 1648	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by A.C. Hayward B2305		B 2305	B 2305		B 2305	no	0						26	25	1	0		0		0		0		non_xanthomonas_organism:25; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1654	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	The donor reference is B2330 This isolate is also in the collections; LMG 837 This isolate was isolated by ex B.H. Boelema F6	LMG 837	LMG 837; B 2330; F 6	LMG 837; B 2330; F 6	LMG 837	B 2330; F 6	yes	1	SAMN03142402	Xanthomonas citri pv. fuscans	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 1654	ncppb_number	201	201	0	0		0		0		0		non_xanthomonas_organism:201	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1659	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	This isolate was isolated by A.C. Hayward B2404		B 2404	B 2404		B 2404	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1668	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	Xanthomonas sp.	The donor reference is CS56-27		CS 56-27	CS 56-27			no	0						6	5	1	0		0		0		0		non_xanthomonas_organism:5; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1671	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas sesbaniae Patel et al. 1952	This isolate was isolated by A.C. Hayward B2536		B 2536	B 2536		B 2536	no	0						27	26	1	0		0		0		0		non_xanthomonas_organism:26; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1672	Xanthomonas sp. Dowson 1939		This isolate was isolated by A.C. Hayward B2540B		B 2540B	B 2540B		B 2540B	no	0						2	0	2	0		0		0		0		query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1680	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	This isolate is also in the collections; ICPB XP200 This isolate was isolated by D.C. Graham		ICPB XP200; XP 200	ICPB XP200; XP 200	ICPB XP200		yes	1	SAMN03257737	Xanthomonas phaseoli pv. phaseoli	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1680	ncppb_number	101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1683	Stenotrophomonas hibiscicola (Moniz 1963) Nguyen et al. 2024	Pseudomonas hibisicola	This isolate is also in the collections; ATCC 19867, ICMP 3945	ATCC 19867; ICMP 3945	ATCC 19867; ICMP 3945	ATCC 19867; ICMP 3945	ATCC 19867; ICMP 3945		no	0						6	4	2	0		0		0		0		non_xanthomonas_organism:4; query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1684	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	This isolate is also in the collections; ICPB XR117 This isolate was isolated by A.C. Hayward B2602		ICPB XR117; XR 117; B 2602	ICPB XR117; XR 117; B 2602	ICPB XR117	B 2602	yes	1	SAMN42178444	Xanthomonas axonopodis pv. ricini	Genome sequencing of Xanthomonas campestris pv. ricini NCPPB 1684	NCPPB 1684	ncppb_number	103	102	1	0		0		0		0		non_xanthomonas_organism:102; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1685	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	The donor reference is B2631 This isolate was isolated by ex H.L. Harvey WA134		B 2631; WA 134	B 2631; WA 134		B 2631	no	0						135	134	1	0		0		0		0		non_xanthomonas_organism:134; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1697	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by A.C. Hayward B2024		B 2024	B 2024		B 2024	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1698	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	The donor reference is B650 This isolate is also in the collections; ATCC 14985, LMG 7429 This isolate was isolated by ex C. Logan XL59/10	ATCC 14985; LMG 7429	ATCC 14985; LMG 7429; B 650; XL 59/10	ATCC 14985; LMG 7429; B 650; XL 59/10	ATCC 14985; LMG 7429	B 650	no	0						118	116	2	0		0		0		0		non_xanthomonas_organism:116; query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1699	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by A.C. Hayward B2019		B 2019	B 2019		B 2019	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1700	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	The donor reference is B648 This isolate is also in the collections; ATCC 14982 This isolate was isolated by ex C. Logan XL 59/6	ATCC 14982	ATCC 14982; B 648; XL 59/6	ATCC 14982; B 648; XL 59/6	ATCC 14982	B 648	no	0						104	102	2	0		0		0		0		non_xanthomonas_organism:102; query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1701	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate is also in the collections; ATCC 14983 This isolate was isolated by A.C. Hayward B649 ex C. Logan XL59/9	ATCC 14983	ATCC 14983; B 649; XL 59/9	ATCC 14983; B 649; XL 59/9	ATCC 14983	B 649	no	0						103	100	3	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:3	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1711	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	The donor reference is B1548 This isolate was isolated by ex M.D. Sutton P125		B 1548; P 125	B 1548; P 125		B 1548; P 125	yes	1	SAMN36346973	Xanthomonas campestris pv. campestris	Genome sequencing of Xcc WHRI 6382 (NCPPB 1711)	NCPPB 1711	ncppb_number	200	200	0	0		0		0		0		non_xanthomonas_organism:200	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1712	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by A.C. Hayward B1334		B 1334	B 1334		B 1334	no	0						58	57	1	0		0		0		0		non_xanthomonas_organism:57; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1713	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas phaseoli (Smith 1897) Dowson 1939	This isolate was isolated by A.C. Hayward B912		B 912	B 912		B 912	yes	2	SAMN56511364; SAMN03257621	Xanthomonas citri; Xanthomonas phaseoli pv. phaseoli	Genome sequencing of Xanthomonas NCPPB 1713; Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 1713	ncppb_number	100	100	0	0		0		0		0		non_xanthomonas_organism:100	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 1714	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	X. phaseoli var. sojense.	This isolate was isolated by A.C. Hayward B744		B 744	B 744		B 744	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1715	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978		This isolate was isolated by A.C. Hayward B1853		B 1853	B 1853		B 1853	no	0						42	41	1	0		0		0		0		non_xanthomonas_organism:41; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1717	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	X. phaseoli f.sp . sojense	The donor reference is B913		B 913	B 913		B 913	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1737	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	This isolate was isolated by R.A. Lelliott X.a.7a		A 7A	A 7A		A 7A	no	0						2	0	2	0		0		0		0		query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 1738	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	This isolate was isolated by R.A. Lelliott X.a.5		A 5	A 5		A 5	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
