ncppb_number	other_references
NCPPB 1061	This isolate is also in the collections; ATCC 23382, ICPB XP195, ICMP 1028, LMG 848 This isolate was isolated by A.C. Hayward B652
NCPPB 1062	This isolate was isolated by A.C. Hayward B644
NCPPB 1063	This isolate is also in the collections; ATCC 19317, LMG 861, ICMP 5747 This isolate was isolated by A.C. Hayward B651
NCPPB 1067	This isolate was isolated by A.C. Hayward B707A
NCPPB 1068	This isolate is also in the collections; ICMP 18269 This isolate was isolated by A.C. Hayward B689A
NCPPB 1117	The donor reference is B828 This isolate was isolated by ex G. Rangaswami
NCPPB 1124	This isolate was isolated by A.C. Hayward B724A
NCPPB 1128	This isolate was isolated by A.C. Hayward B791
NCPPB 1129	This isolate was isolated by A.C. Hayward B784
NCPPB 1131	This isolate was isolated by A.C. Hayward B720
NCPPB 1132	This isolate was isolated by A.C. Hayward B719
NCPPB 1135	This isolate was isolated by A.C. Hayward B740B
NCPPB 1136	This isolate was isolated by A.C. Hayward B809A
NCPPB 1138	This isolate was isolated by A.C. Hayward B727
NCPPB 1141	This isolate is also in the collections; ICPB XP202 This isolate was isolated by A.C. Hayward B745
NCPPB 1143	This isolate was isolated by L.A.E. Baker X3
NCPPB 1144	This isolate was isolated by L.A.E. Baker X9
NCPPB 1145	This isolate was isolated by L.A.E. Baker X10
NCPPB 1146	This isolate was isolated by L.A.E. Baker XII
NCPPB 1147	This isolate was isolated by L.A.E. Baker X13
NCPPB 1148	The donor reference is XGl This isolate is also in the collections; ICMP 82, LMG 9049 This isolate was isolated by ex D.P. Bhide
NCPPB 1149	The donor reference is XHl This isolate is also in the collections; ICMP 90, LMG 939 The source of this isolate was ex D.P. Bhide
NCPPB 1150	The donor reference is Ykl The source of this isolate was ex Orillo
NCPPB 1151	The donor reference is YK2 The source of this isolate was ex Orillo
NCPPB 1152	The donor reference is YK3 The source of this isolate was ex N. Okabe
NCPPB 1153	The donor reference is YK4 The source of this isolate was ex H. Muko
NCPPB 1154	
NCPPB 1155	This isolate is also in the collections; ICPB XL104, ICMP 84, CFBP 7258, LMG 1158 This isolate was isolated by D.W. Dye Pukatea 3
NCPPB 1158	This isolate is also in the collections; LMG 7458 This isolate was isolated by D.C. Graham
NCPPB 1159	This isolate is also in the collections; ATCC 23380, LMG 5274, ICMP 6934 This isolate was isolated by ex W.H. Burkholder SMl
NCPPB 1160	This isolate was isolated by ex O.A. Drummon & O. Hipolite
NCPPB 1161	This isolate was isolated by ex G. Orian M3
NCPPB 1235	This isolate was isolated by A.C. Hayward B922
NCPPB 1241	This isolate is also in the collections; ICPB XH112 This isolate was isolated by A.C. Hayward B996
NCPPB 1244	This isolate was isolated by A.C. Hayward B1021
NCPPB 1324	This isolate was isolated by A.C. Hayward B1167
NCPPB 1325	The donor reference is B1160 This isolate is also in the collections; ICMP 18270 This isolate was isolated by ex C.L.A. Leakey
NCPPB 1326	This isolate is also in the collections; LMG 8717 This isolate was isolated by A.C. Hayward B1116
NCPPB 1332	This isolate was isolated by A.C. Hayward B1198
NCPPB 1334	This isolate is also in the collections; ICMP 5736, LMG 744 This isolate was isolated by ex A.C. Padhya
NCPPB 1336	This isolate is also in the collections; ICMP 5717, LMG 470 This isolate was isolated by A.C. Padhya
NCPPB 1337	This isolate is also in the collections; ICMP 5742, LMG 786 This isolate was isolated by ex A.C. Padhya
NCPPB 1381	This isolate is also in the collections; LMG 8718 This isolate was isolated by A.C. Hayward B1350
NCPPB 1393	The donor reference is B1432 The source of this isolate was ex ITCC SF62
NCPPB 1394	The donor reference is B1446 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1395	The donor reference is B1444 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1396	The donor reference is B1443 This isolate was isolated by ex N. Shanmuganathan
NCPPB 1402	This isolate is also in the collections; LMG 7459 This isolate was isolated by A.C. Hayward B1374
NCPPB 1420	This isolate was isolated by Z. Klement E1388
NCPPB 1421	This isolate was isolated by Z. Klement S. 20
NCPPB 1422	This isolate is also in the collections; ICMP 5723, LMG 8646 This isolate was isolated by ex Z. Klement N.066
NCPPB 1423	This isolate is also in the collections; ICMP 114, LMG 923 This isolate was isolated by Z. Klement S. 07
NCPPB 1426	This isolate is also in the collections; ICMP 173, LMG 924 This isolate was isolated by Z. Klement S. 10
NCPPB 1431	This isolate is also in the collections; ICMP 112, LMG 925 This isolate was isolated by Z. Klement S. 04
NCPPB 1433	This isolate is also in the collections; LMG 8016 This isolate was isolated by Z. Klement E1309
NCPPB 1438	This isolate is also in the collections; ICMP 172, LMG 926, CFBP 7955 This isolate was isolated by Z. Klement I. 608
NCPPB 1439	This isolate was isolated by Z. Klement E1299
NCPPB 1447	The donor reference is 19 This isolate was isolated by ex I. Lazar
NCPPB 1451	This isolate is also in the collections; ICMP 5761, LMG 940 This isolate was isolated by ex A.C. Padhya
NCPPB 1452	This isolate is also in the collections; ICMP 5852, LMG 872, ATCC 23577 This isolate was isolated by ex A.C. Padhya
NCPPB 1453	This isolate was isolated by ex M.C. Srinivasan
NCPPB 1454	This isolate is also in the collections; ICMP 5753, LMG 873 This isolate was isolated by ex M.C. Srinivasan
NCPPB 1455	This isolate is also in the collections; ICMP 5737, LMG 754 This isolate was isolated by ex M.C. Srinivasan
NCPPB 1457	This isolate was isolated by ex M.C. Srinivasan
NCPPB 1469	This isolate is also in the collections; ICMP 5715, ATTCC 33239, VKM B-2165, DSMZ 3587, LMG 708, CFBP 2157 This isolate was isolated by B.W. Kennedy
NCPPB 1471	This isolate was isolated by A.C. Hayward B1603
NCPPB 1472	This isolate was isolated by A.C. Hayward B1601
NCPPB 1473	This isolate was isolated by A.C. Hayward B1559
NCPPB 1475	This isolate was isolated by A.C. Hayward B1479
NCPPB 1482	This isolate was isolated by A.C. Hayward B1741
NCPPB 1495	This isolate is also in the collections; LMG 8017 This isolate was isolated by G.E. Jones C398
NCPPB 1560	This isolate was isolated by R.A. Lelliott 479
NCPPB 1568	The donor reference is 1 This isolate was isolated by ex K.S.S. Eswaran
NCPPB 1585	This isolate is also in the collections; ICPB XOlll, ICMP 5743, LMG 797, CFBP 2286, ATCC 49072 This isolate was isolated by A.C. Hayward B2115
NCPPB 1593	This isolate is also in the collections; ICMP 1617, LMG 534 This isolate was isolated by ex M.C. Srinivasan
NCPPB 1594	This isolate was isolated by ex A.C. Padhya The source of this isolate was ex M.K. Patel
NCPPB 1595	The source of this isolate was ex M.C. Srinivasan
NCPPB 1596	The source of this isolate was ex M.C. Srinivasan
NCPPB 1607	The donor reference is B2165 This isolate was isolated by ex R.D. Pares
NCPPB 1610	This isolate was isolated by R.A. Lelliott
NCPPB 1612	This isolate was isolated by A.C. Hayward B2175
NCPPB 1615	This isolate is also in the collections; ICPB XPl99 This isolate was isolated by R.A. Lelliott
NCPPB 1616	This isolate was isolated by A.C. Hayward B2249F
NCPPB 1622	This isolate was isolated by D.C. Graham
NCPPB 1628	This isolate is also in the collections; ICPB XA132 This isolate was isolated by A.C. Padhya
NCPPB 1629	This isolate was isolated by ex A.C. Padhya
NCPPB 1630	This isolate was isolated by ex D.W. Dye ZZ24 The source of this isolate was .
NCPPB 1632	The source of this isolate was ex M. Goto B50
