ncppb_number,term_type,search_term
NCPPB 301,received_name_plus_number,"""Xanthomonas phaseoli (Smith 1897) Dowson 1939"" ""NCPPB 301"""
NCPPB 301,alternative_name_plus_number,"""Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978"" ""NCPPB 301"""
NCPPB 302,ncppb_number,NCPPB 302
NCPPB 302,ncppb_number_compact,NCPPB302
NCPPB 302,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 302"
NCPPB 302,current_name_plus_number,"""Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov."" ""NCPPB 302"""
NCPPB 302,received_name_plus_number,"""Xanthomonas phaseoli (Smith 1897) Dowson 1939"" ""NCPPB 302"""
NCPPB 302,alternative_name_plus_number,"""Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978"" ""NCPPB 302"""
NCPPB 305,ncppb_number,NCPPB 305
NCPPB 305,ncppb_number_compact,NCPPB305
NCPPB 305,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 305"
NCPPB 305,current_name_plus_number,"""Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995"" ""NCPPB 305"""
NCPPB 305,received_name_plus_number,"""Xanthomonas pelargonii"" ""NCPPB 305"""
NCPPB 305,alternative_name_plus_number,"""Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978"" ""NCPPB 305"""
NCPPB 315,ncppb_number,NCPPB 315
NCPPB 315,ncppb_number_compact,NCPPB315
NCPPB 315,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 315"
NCPPB 315,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 315"""
NCPPB 315,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 315"""
NCPPB 315,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 315"""
NCPPB 347,ncppb_number,NCPPB 347
NCPPB 347,ncppb_number_compact,NCPPB347
